@relation 'Features-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,7'

@attribute Area numeric
@attribute Mean numeric
@attribute Mode numeric
@attribute Min numeric
@attribute Max numeric
@attribute Median numeric
@attribute Perimeter numeric
@attribute *Feret numeric
@attribute *Breadth numeric
@attribute *AspRatio numeric
@attribute *RFactor numeric
@attribute *ConvexArea numeric
@attribute *ConvexPerimeter numeric
@attribute *ArEquivD numeric
@attribute *PerEquivD numeric
@attribute *MinR numeric
@attribute *MaxR numeric
@attribute *avgR numeric
@attribute *VarianceR numeric
@attribute *EquivEllAr numeric
@attribute *ModRatio numeric
@attribute *HaralickRatio numeric
@attribute *ThinnessR numeric
@attribute *Roundness numeric
@attribute *Compactness numeric
@attribute *Solidity numeric
@attribute *Convexity numeric
@attribute *Concavity numeric
@attribute *ArBBox numeric
@attribute *Rectang numeric
@attribute *Sphericity numeric
@attribute *Elongation numeric
@attribute '*Bending Energy' numeric
@attribute *Jaggedness numeric
@attribute *Circularity numeric
@attribute *Endocarp numeric
@attribute 'Distance CM-FB' numeric
@attribute StD numeric
@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute 'Intensity sum' numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute 'Smothness R' numeric
@attribute GLCM-Contrast numeric
@attribute GLCM-Correlation numeric
@attribute GLCM-Energy numeric
@attribute GLCM-Homogeneity numeric
@attribute 'Mean Red' numeric
@attribute 'Sqrt Mean Red' numeric
@attribute 'StD Red' numeric
@attribute 'Mean Green' numeric
@attribute 'Sqrt Mean Green' numeric
@attribute 'StD Green' numeric
@attribute 'Mean Blue' numeric
@attribute 'Sqrt Mean Blue' numeric
@attribute 'StD Blue' numeric
@attribute 'Mean RGB' numeric
@attribute 'Mean H' numeric
@attribute 'StD H' numeric
@attribute 'Mean S' numeric
@attribute 'StD S' numeric
@attribute 'Mean V' numeric
@attribute 'StD V' numeric
@attribute Label {Amaranthacea,Apiaceae,Asteraceae,Brassicaceae,Plantaginaceae,Solanaceae}

@data
115929,38949,0,85,245,0,2519.562,588.518,348.324,1.69,81.513,150708,1444.898,384.194,802.001,174.162,294.259,200.862,1449.443,161002.89,0.592,5.276,54.759,0.426,0.653,0.769,0.573,34779,204995.247,0.566,0.592,4.358,1.807,0.479,0.229,113409.438,32.015,11.635,11.555,132.853,9971094,0.985,0.105,0.002,117.687,0.98,0.453,0.961,254.672,15.958,4.932,1.689,1.3,19.355,1.67,1.292,19.12,86.01,0.537,7.982,253.337,19.184,254.829,2.148,Apiaceae
116889,38838,0,85,251,0,1528.528,468.031,322.88,1.45,82.152,120793,1260.933,385.782,486.546,161.44,234.015,194.135,699.363,118687.706,0.69,7.341,19.988,0.679,0.824,0.968,0.825,3904,151117.881,0.773,0.69,1.591,0.047,0.793,0.629,115360.472,36.219,2.877,48.573,2381.636,9942557,0.999,0.008,0.000127,110.567,0.981,0.474,0.966,254.982,15.968,0.959,0.099,0.315,4.763,0.098,0.313,4.695,85.06,0.046,2.333,254.898,4.87,254.989,0.589,Apiaceae
120805,40172,0,85,242,0,1783.388,527.266,303.571,1.737,141.637,234615,1338.243,392.191,567.67,151.786,263.633,200.696,1605.318,125712.972,0.576,5.009,26.327,0.553,0.744,0.515,0.75,113810,160062.727,0.755,0.576,2.095,0.064,0.691,0.477,119021.612,24.109,4.124,31.982,1030.564,10284130,0.998,0.017,0.000262,118.959,0.98,0.449,0.96,254.949,15.967,1.815,0.222,0.471,7.008,0.22,0.469,6.945,85.13,0.108,3.694,254.776,7.091,254.971,1.004,Apiaceae
121040,40214,0,85,225,0,1908.913,550.706,317.581,1.734,98.515,170440,1357.732,392.572,607.626,158.79,275.353,195.946,1315.761,137361.104,0.577,5.402,30.105,0.508,0.713,0.71,0.711,49400,174893.589,0.692,0.577,2.396,0.008,0.646,0.417,119131.087,46.672,2.578,47.584,2270.873,10294981,0.999,0.007,0.000102,122.374,0.979,0.447,0.96,254.969,15.968,1.515,0.096,0.31,4.548,0.098,0.314,4.658,85.054,0.06,2.823,254.905,4.528,254.985,0.729,Apiaceae
124283,41599,0,85,254,0,2484.571,516.422,339.564,1.521,91.769,148884.5,1343.602,397.796,790.864,169.782,258.211,203.375,1066.367,137726.223,0.658,6.228,49.67,0.593,0.77,0.835,0.541,24601.5,175358.473,0.709,0.658,3.953,0.259,0.503,0.253,121798.429,15.216,9.786,14.254,202.664,10649579,0.99,0.072,0.001,127.086,0.978,0.448,0.96,254.82,15.963,2.893,1.13,1.063,16.037,1.114,1.055,15.802,85.688,0.458,7.42,253.833,16.56,254.884,1.855,Apiaceae
125791,42067,0,85,249,0,1790.476,484.979,353.048,1.374,98.777,150497,1322.672,400.203,569.926,176.524,242.49,199.618,511.648,134476.556,0.728,8.825,25.485,0.681,0.825,0.836,0.739,24706,171220.869,0.735,0.728,2.028,0.297,0.702,0.493,124000.524,19.21,9.352,15.31,233.746,10769221,0.991,0.063,0.001,72.128,0.985,0.549,0.97,254.905,15.966,2.146,0.987,0.993,15.04,0.945,0.972,14.395,85.612,0.243,5.06,254.02,14.947,254.934,1.367,Apiaceae
130657,43424,0,85,237,0,1872.283,554.217,313.125,1.77,78.403,136509,1393.832,407.87,595.966,156.562,277.109,209.395,1825.42,136297.449,0.565,4.901,26.829,0.542,0.736,0.957,0.744,5852,173539.301,0.753,0.565,2.135,0.467,0.684,0.468,128784.717,18.338,3.239,39.391,1555.846,11116624,0.999,0.011,0.000161,115.734,0.979,0.485,0.964,254.962,15.968,1.52,0.142,0.377,5.573,0.143,0.378,5.602,85.082,0.083,3.321,254.852,5.798,254.978,0.88,Apiaceae
133522,44410,0,85,250,0,1943.981,523.077,358.336,1.46,86.696,142467.5,1359.691,412.317,618.788,179.168,261.539,210.1,730.805,147213.183,0.685,7.772,28.303,0.621,0.788,0.937,0.699,8945.5,187437.646,0.712,0.685,2.252,0.406,0.666,0.444,131578.019,16.222,4.408,30.121,912.193,11369035,0.998,0.019,0.000299,111.9,0.98,0.459,0.959,254.944,15.967,1.847,0.248,0.498,7.407,0.25,0.5,7.465,85.147,0.13,4.183,254.746,7.604,254.969,1.008,Apiaceae
133530,44340,0,85,220,0,1586.771,539.171,339.295,1.589,114.827,194500,1381.254,412.33,505.085,169.648,269.585,205.861,1242.547,143679.123,0.629,5.84,18.856,0.585,0.765,0.687,0.87,60970,182937.941,0.73,0.629,1.501,0.136,0.816,0.666,131943.229,55.139,1.078,116.136,13532.153,11351294,1,0.001,0.000018,75.604,0.984,0.537,0.97,254.995,15.969,0.566,0.016,0.128,1.9,0.016,0.127,1.877,85.009,0.009,1.02,254.983,1.916,254.997,0.301,Apiaceae
136566,45357,0,85,231,0,1573.883,520.343,347.027,1.499,120.679,197274.5,1366.421,416.991,500.983,173.513,260.172,208.03,894.66,141821.654,0.667,6.955,18.139,0.642,0.801,0.692,0.868,60708.5,180572.938,0.756,0.667,1.443,0.109,0.832,0.693,134992.117,17.42,1.787,72.897,5334.616,11611470,1,0.003,0.000049,75.826,0.984,0.541,0.97,254.99,15.968,0.746,0.042,0.204,3.02,0.042,0.204,3.032,85.025,0.026,1.955,254.956,3.187,254.994,0.463,Apiaceae
138550,46039,0,85,241,0,1640.227,501.597,361.303,1.388,186.932,294570,1370.877,420.009,522.1,180.651,250.799,213.235,581.045,142336.558,0.72,8.846,19.418,0.701,0.837,0.47,0.836,156020,181228.534,0.765,0.72,1.545,0.207,0.804,0.647,136909.773,13.733,2.955,43.942,1941.627,11786121,0.999,0.009,0.000134,122.159,0.976,0.495,0.961,254.972,15.968,1.296,0.115,0.34,5.033,0.116,0.34,5.036,85.068,0.06,2.762,254.878,5.307,254.983,0.782,Apiaceae
139131,46452,0,85,251,0,1772.275,536.538,345.636,1.552,92.039,155139.5,1402.385,420.888,564.133,172.818,268.269,212.944,1172.323,145649.448,0.644,6.219,22.576,0.615,0.784,0.897,0.791,16008.5,185446.636,0.75,0.644,1.797,0.216,0.746,0.557,137358.725,35.202,8.355,17.733,313.803,11891798,0.994,0.047,0.001,74.024,0.981,0.605,0.969,254.959,15.967,1.388,0.746,0.864,13.182,0.711,0.843,12.558,85.472,0.106,2.776,254.272,12.87,254.97,0.843,Apiaceae
139454,46337,0,85,234,0,1748.067,541.24,371.231,1.458,91.713,155944.5,1396.871,421.377,556.427,185.616,270.62,213.134,829.248,157806.274,0.686,7.401,21.912,0.606,0.779,0.894,0.799,16490.5,200925.189,0.694,0.686,1.744,2.05,0.757,0.573,137705.933,52.331,2.834,44.558,1991.964,11862491,0.999,0.009,0.000123,110.845,0.981,0.467,0.966,254.97,15.968,1.371,0.11,0.332,4.896,0.111,0.333,4.907,85.064,0.061,2.785,254.885,5.118,254.982,0.801,Apiaceae
144627,48346,0,85,252,0,2738.002,522.591,372.49,1.403,93.35,153258.5,1423.843,429.121,871.533,186.245,261.295,216.761,704.875,152885.6,0.713,8.164,51.834,0.674,0.821,0.944,0.52,8631.5,194659.992,0.743,0.713,4.125,3.047,0.492,0.242,141888.998,27.056,9.02,15.724,247.304,12376627,0.992,0.061,0.001,123.497,0.976,0.491,0.96,254.868,15.965,2.565,0.946,0.972,14.759,0.915,0.956,14.267,85.576,0.317,5.769,254.048,14.865,254.917,1.563,Apiaceae
145197,48331,0,85,254,0,2029.655,550.654,387.697,1.42,87.422,151234.5,1429.649,429.966,646.059,193.849,275.327,219.255,708.122,167672.442,0.704,8.239,28.372,0.61,0.781,0.96,0.704,6037.5,213487.184,0.68,0.704,2.258,0.437,0.666,0.443,143167.345,19.917,5.528,26.007,680.465,12372857,0.997,0.025,0.00047,81.006,0.983,0.532,0.969,254.953,15.967,1.57,0.352,0.594,9.063,0.338,0.581,8.681,85.214,0.116,3.432,254.649,9.028,254.971,0.915,Apiaceae
148754,49524,0,85,250,0,1847.908,529.991,377.678,1.403,152.245,253490.5,1424.4,435.201,588.207,188.839,264.995,220.235,693.399,157209.659,0.713,8.364,22.956,0.674,0.821,0.587,0.771,104736.5,200165.555,0.743,0.713,1.827,0.02,0.74,0.547,146906.092,5.802,5.695,24.9,623.094,12678345,0.997,0.027,0.000499,114.076,0.981,0.463,0.964,254.946,15.967,1.644,0.379,0.616,9.346,0.365,0.605,9.004,85.23,0.126,3.634,254.616,9.46,254.965,1.008,Apiaceae
149001,49532,0,85,240,0,2002.005,551.218,364.226,1.513,123.466,213805.5,1443.185,435.562,637.258,182.113,275.609,219.319,959.931,157682.645,0.661,7.079,26.899,0.624,0.79,0.697,0.721,64804.5,200767.779,0.742,0.661,2.141,0.053,0.683,0.467,146998.995,38.592,3.579,35.385,1258.594,12680241,0.998,0.013,0.000197,123.169,0.976,0.493,0.96,254.951,15.967,1.805,0.176,0.419,6.173,0.178,0.422,6.239,85.102,0.1,3.653,254.82,6.33,254.973,0.973,Apiaceae
150174,50657,0,85,251,0,1974.66,554.437,389.448,1.424,149.691,260734.5,1454.761,437.273,628.554,194.724,277.218,219.783,659.785,169586.368,0.702,8.556,25.965,0.622,0.789,0.576,0.737,110560.5,215924.069,0.695,0.702,2.066,7.971,0.696,0.484,148199.34,47.965,14.145,10.375,105.99,12968360,0.982,0.12,0.003,123.587,0.976,0.494,0.96,254.908,15.966,1.873,2.134,1.461,22.239,2.026,1.423,21.111,86.356,0.299,5.187,252.925,21.62,254.927,1.183,Apiaceae
156853,52101,0,85,248,0,1770.896,565.722,389.686,1.452,125.963,223869.5,1479.155,446.891,563.694,194.843,282.861,220.782,922.861,173144.099,0.689,7.268,19.994,0.624,0.79,0.701,0.835,67016.5,220453.914,0.712,0.689,1.591,0.965,0.793,0.629,155082.104,20.974,2.134,62.047,3890.497,13337956,0.999,0.005,0.00007,114.398,0.981,0.463,0.965,254.985,15.968,0.964,0.06,0.244,3.646,0.06,0.244,3.643,85.035,0.031,1.965,254.939,3.705,254.992,0.527,Apiaceae
158558,52842,0,85,255,0,2257.77,496.158,413,1.201,112.498,175353.5,1455.944,449.313,718.67,206.5,248.079,226.215,167.605,160938.571,0.832,17.473,32.149,0.82,0.906,0.904,0.645,16795.5,204913.353,0.774,0.832,2.558,0.254,0.625,0.391,156300.23,29.702,6.598,20.894,437.959,13527766,0.995,0.036,0.000669,114.077,0.98,0.465,0.965,254.908,15.966,2.178,0.526,0.725,10.903,0.518,0.72,10.742,85.317,0.218,5.088,254.457,11.263,254.941,1.342,Apiaceae
162866,54253,0,85,248,0,1792.795,534.809,412.143,1.298,161.076,270631.5,1483.328,455.376,570.664,206.071,267.405,230.762,471.894,173115.664,0.771,10.623,19.735,0.725,0.851,0.602,0.827,107765.5,220417.709,0.739,0.771,1.57,17.571,0.798,0.637,161073.205,57.127,6.373,23.069,533.96,13888875,0.996,0.03,0.000624,94.777,0.978,0.576,0.967,254.958,15.967,1.466,0.455,0.675,10.407,0.421,0.649,9.609,85.278,0.127,3.451,254.566,9.919,254.973,0.877,Apiaceae
22207,7403,0,85,225,0,855.502,243.772,140.738,1.732,39.59,30319.5,605.126,168.151,272.315,70.369,121.886,88.068,287.215,26945.473,0.577,5.197,32.957,0.476,0.69,0.732,0.707,8112.5,34308.041,0.647,0.577,2.623,2.337,0.617,0.381,21351.498,3.308,6.395,18.387,339.345,1895370,0.994,0.045,0.000629,60.067,0.982,0.646,0.968,254.842,15.964,3.029,0.612,0.782,11.134,0.597,0.773,10.869,85.35,0.233,5.622,254.287,12.968,254.861,2.634,Asteraceae
22441,7460,0,85,244,0,758.105,275.545,106.888,2.578,72.418,62689,635.434,169.035,241.312,53.444,137.772,88.909,828.681,23131.833,0.388,3.089,25.61,0.376,0.613,0.358,0.838,40248,29452.364,0.762,0.388,2.038,0.161,0.7,0.491,21682.895,14.924,3.738,35.243,1262.878,1909906,0.998,0.013,0.000215,210.39,0.952,0.611,0.922,254.968,15.968,1.227,0.181,0.425,6.228,0.175,0.419,6.048,85.108,0.039,1.92,254.797,6.985,254.97,1.154,Asteraceae
23691,7891,0,85,218,0,1036.597,251.873,145,1.737,51.002,40357,627.371,173.679,329.959,72.5,125.936,91.061,290.414,28683.984,0.576,5.343,45.356,0.475,0.69,0.587,0.605,16666,36521.583,0.649,0.576,3.609,0.006,0.526,0.277,22654.403,9.147,5.519,20.43,419.393,2020181,0.995,0.036,0.000468,69.98,0.979,0.642,0.968,254.829,15.963,3.529,0.491,0.701,9.936,0.496,0.704,10.029,85.272,0.324,6.807,254.435,11.425,254.875,2.576,Asteraceae
24117,8066,0,85,225,0,1065.367,295.657,115.804,2.553,31.24,29017,681.584,175.233,339.117,57.902,147.828,97.833,761.297,26890.617,0.392,3.546,47.062,0.351,0.593,0.831,0.64,4900,34238.197,0.704,0.392,3.745,0.889,0.517,0.267,23051.633,17.661,8.753,14.012,194.903,2064976,0.99,0.068,0.001,102.684,0.98,0.463,0.945,254.845,15.964,2.258,1.052,1.025,14.756,0.975,0.988,13.686,85.624,0.103,1.615,253.889,15.58,254.845,2.242,Asteraceae
25783,8562,0,85,228,0,828.347,264.849,145.295,1.823,51.128,42541,643.248,181.185,263.671,72.648,132.425,93.984,295.783,30223.098,0.549,5.465,26.613,0.468,0.684,0.606,0.777,16758,38481.244,0.67,0.549,2.118,0.045,0.687,0.472,24954.653,12.068,1.61,81.159,6631.978,2192070,1,0.002,0.00004,70.318,0.979,0.641,0.967,254.996,15.969,0.418,0.033,0.182,2.658,0.031,0.176,2.493,85.02,0.004,0.332,254.965,2.819,254.996,0.418,Asteraceae
27138,9032,0,85,252,0,815.301,297.617,120.204,2.476,30.335,28363,688.169,185.885,259.518,60.102,148.809,96.11,848.784,28097.389,0.404,3.299,24.494,0.39,0.625,0.957,0.844,1225,35774.707,0.759,0.404,1.949,0.223,0.716,0.513,26322.699,33.529,5.08,25.164,638.082,2312257,0.997,0.025,0.000397,75.708,0.977,0.645,0.967,254.939,15.967,1.713,0.343,0.585,8.522,0.33,0.574,8.209,85.204,0.156,5.033,254.626,9.32,254.945,1.522,Asteraceae
27676,9212,0,85,252,0,1053.325,266.852,171.232,1.558,39.784,33352.5,679.482,187.718,335.284,85.616,133.426,96.428,278.265,35887.602,0.642,5.781,40.089,0.495,0.703,0.83,0.645,5676.5,45693.514,0.606,0.642,3.19,4.782,0.56,0.313,26622.675,8.928,5.094,23.832,573.234,2358430,0.996,0.027,0.000399,29.412,0.944,0.897,0.983,254.918,15.966,2.011,0.37,0.608,8.707,0.359,0.599,8.449,85.216,0.063,1.9,254.565,10.224,254.92,1.959,Asteraceae
27875,9531,0,85,245,0,975.685,293.002,160.931,1.821,39.01,35908,700.722,188.392,310.57,80.466,146.501,102.302,505.082,37033.993,0.549,4.552,34.151,0.413,0.643,0.776,0.718,8033,47153.144,0.591,0.549,2.718,0.27,0.607,0.368,26899.315,28.697,18.378,7.144,49.281,2440045,0.963,0.231,0.005,231.206,0.964,0.316,0.882,254.798,15.962,2.224,4.122,2.03,29.844,3.686,1.92,26.684,87.536,0.394,3.114,251.141,27.939,254.8,2.166,Asteraceae
27952,9323,0,85,235,0,1142.965,262.017,181.001,1.448,43.297,35640,684.459,188.652,363.817,90.501,131.009,96.366,217.447,37247.881,0.691,6.535,46.736,0.518,0.72,0.784,0.599,7688,47425.474,0.589,0.691,3.719,6.569,0.519,0.269,26809.035,17.928,6.8,17.586,310.23,2386793,0.993,0.049,0.000711,174.535,0.96,0.616,0.932,254.842,15.964,2.89,0.675,0.821,11.76,0.65,0.806,11.325,85.389,0.194,4.502,254.216,13.657,254.852,2.676,Asteraceae
29320,9757,0,85,216,0,1016.07,273.856,172.129,1.591,41.15,35403.5,697.274,193.213,323.425,86.065,136.928,99.695,290.219,37022.566,0.629,5.852,35.211,0.498,0.706,0.828,0.686,6083.5,47138.595,0.622,0.629,2.802,2.801,0.597,0.357,28303.93,61.886,4.594,23.479,553.297,2497966,0.996,0.027,0.000324,39.293,0.942,0.881,0.981,254.871,15.965,3.053,0.359,0.599,8.362,0.36,0.6,8.381,85.197,0.202,5.115,254.568,10.074,254.897,2.44,Asteraceae
29706,9893,0,85,229,0,944.354,280.713,167.955,1.671,45.254,39908.5,697.933,194.481,300.597,83.977,140.357,100.51,314.998,37029.246,0.598,5.663,30.021,0.48,0.693,0.744,0.739,10202.5,47147.1,0.63,0.598,2.389,0.127,0.647,0.419,28761.646,32.501,5.672,21.997,484.413,2532694,0.996,0.032,0.000494,228.269,0.964,0.319,0.877,254.928,15.966,1.726,0.436,0.66,9.543,0.412,0.642,9.012,85.259,0.072,2.581,254.525,10.419,254.93,1.658,Asteraceae
29794,9920,0,85,231,0,967.71,274.935,150.343,1.829,37.785,32636.5,700.014,194.769,308.032,75.172,137.467,95.69,584.004,32464.077,0.547,3.96,31.431,0.502,0.708,0.913,0.723,2842.5,41334.546,0.721,0.547,2.501,1.543,0.632,0.4,28826.29,75.256,5.293,22.218,497.335,2539652,0.996,0.032,0.000431,111.46,0.979,0.447,0.939,254.884,15.965,2.695,0.42,0.648,9.203,0.417,0.646,9.146,85.24,0.235,6.032,254.507,10.806,254.902,2.254,Asteraceae
30076,10013,0,85,233,0,1000.337,314.892,136.517,2.307,50.432,49890,763.375,195.688,318.417,68.258,157.446,102.447,1192.558,33762.768,0.434,2.967,33.272,0.386,0.621,0.603,0.763,19814,42988.092,0.7,0.434,2.648,18.66,0.615,0.378,29075.663,60.198,5.419,23.159,541.06,2563576,0.996,0.03,0.000451,110.924,0.979,0.454,0.941,254.928,15.966,2.006,0.403,0.635,9.202,0.378,0.615,8.61,85.237,0.121,3.906,254.562,10.022,254.933,1.851,Asteraceae
30409,10135,0,85,243,0,1023.911,319.658,159.438,2.005,34.408,34553.5,743.17,196.769,325.921,79.719,159.829,103.888,690.351,40028.311,0.499,3.954,34.476,0.379,0.616,0.88,0.726,4144.5,50965.629,0.597,0.499,2.744,0.045,0.604,0.364,29385.089,21.422,6.363,19.703,391.494,2594695,0.995,0.041,0.000622,35.438,0.941,0.873,0.978,254.896,15.965,2.413,0.554,0.744,10.747,0.529,0.728,10.257,85.327,0.169,4.47,254.388,11.887,254.906,2.162,Asteraceae
30499,10227,0,85,216,0,1238.739,279.217,186.943,1.494,106.276,93223.5,719.147,197.06,394.303,93.472,139.608,100.345,297.534,40996.017,0.67,5.817,50.312,0.498,0.706,0.327,0.581,62724.5,52197.75,0.584,0.67,4.004,0.224,0.5,0.25,29260.261,16.743,9.59,11.296,126.599,2618306,0.984,0.106,0.001,200.924,0.953,0.618,0.922,254.404,15.95,6.816,1.563,1.25,17.608,1.579,1.257,17.795,85.849,1.006,11.532,253.235,19.905,254.591,4.688,Asteraceae
30656,10257,0,85,251,0,1274.545,306.537,165.399,1.853,52.476,50535,736.045,197.566,405.7,82.7,153.269,101.467,427.953,39820.5,0.54,4.905,52.99,0.415,0.645,0.607,0.577,19879,50701.035,0.605,0.54,4.217,3.563,0.487,0.237,29381.455,6.485,8.983,13.698,188.231,2626018,0.989,0.078,0.001,189.302,0.956,0.615,0.928,254.78,15.962,3.344,1.135,1.065,15.365,1.068,1.033,14.452,85.661,0.243,4.501,253.747,16.958,254.794,3.091,Asteraceae
30767,10261,0,85,241,0,872.354,284.318,158.476,1.794,36.997,33046,712.953,197.924,277.679,79.238,142.159,102.609,725.472,35388.245,0.557,3.81,24.734,0.485,0.696,0.931,0.817,2279,45057.713,0.683,0.557,1.968,0.133,0.713,0.508,29894.646,57.123,6.854,18.043,326.357,2626945,0.994,0.046,0.000722,35.914,0.945,0.874,0.98,254.87,15.965,2.496,0.649,0.805,11.61,0.627,0.792,11.231,85.382,0.178,4.706,254.27,13.068,254.88,2.258,Asteraceae
31627,10523,0,85,224,0,895.217,261.964,172.439,1.519,50.943,41925,683.631,200.671,284.957,86.22,130.982,99.631,212.196,35478.667,0.658,6.84,25.34,0.587,0.766,0.754,0.764,10298,45172.841,0.7,0.658,2.016,1.296,0.704,0.496,30731.783,16.619,4.606,26.105,683.27,2693898,0.997,0.023,0.000326,109.901,0.979,0.466,0.942,254.947,15.967,1.599,0.3,0.548,7.79,0.284,0.533,7.373,85.177,0.046,2.081,254.67,8.575,254.949,1.506,Asteraceae
31779,10564,0,85,213,0,1072.781,290.988,175.483,1.658,46.421,42436.5,726.912,201.152,341.477,87.742,145.494,103.065,305.064,40105.215,0.603,5.901,36.214,0.478,0.691,0.749,0.678,10657.5,51063.546,0.622,0.603,2.882,0.072,0.589,0.347,30706.219,30.291,3.425,32.892,1087.926,2704547,0.998,0.015,0.00018,107.703,0.979,0.456,0.942,254.936,15.967,2.118,0.19,0.436,6.183,0.188,0.434,6.136,85.105,0.102,3.54,254.78,7.156,254.952,1.604,Asteraceae
32193,10774,0,85,220,0,1250.32,303.595,169.782,1.788,88.084,84012,738.611,202.458,397.989,84.891,151.798,104.748,446.231,40483.294,0.559,4.959,48.56,0.445,0.667,0.383,0.591,51819,51544.931,0.625,0.559,3.864,0.215,0.509,0.259,30942.68,8.595,8.512,12.566,157.251,2758252,0.987,0.088,0.001,228.196,0.964,0.334,0.876,254.505,15.953,6.315,1.265,1.125,15.817,1.266,1.125,15.835,85.679,0.749,9.683,253.574,17.861,254.659,4.328,Asteraceae
37829,12608,0,85,236,0,1119.207,327.794,176.07,1.862,54.073,55684.5,783.112,219.466,356.255,88.035,163.897,111.394,535.238,45328.925,0.537,4.815,33.113,0.448,0.67,0.679,0.7,17855.5,57714.58,0.655,0.537,2.635,0.386,0.616,0.38,36709.793,14.598,6.185,19.166,368.994,3227754,0.994,0.042,0.000588,191.223,0.956,0.612,0.928,254.863,15.964,2.821,0.566,0.753,10.751,0.545,0.738,10.337,85.325,0.197,4.967,254.349,12.358,254.878,2.469,Asteraceae
39048,13011,0,85,237,0,1134.479,287.717,199.666,1.441,60.453,54643,775.958,222.974,361.116,99.833,143.858,114.957,198.845,45118.958,0.694,8.152,32.961,0.601,0.775,0.715,0.684,15595,57447.242,0.68,0.694,2.623,0.043,0.617,0.381,37913.521,17.914,6.021,19.864,396.419,3330998,0.995,0.039,0.000557,185.404,0.958,0.609,0.927,254.879,15.965,2.53,0.525,0.725,10.335,0.512,0.715,10.064,85.305,0.167,4.761,254.385,12.084,254.886,2.361,Asteraceae
39855,13268,0,85,226,0,1195.065,289.807,204.098,1.42,68.275,62161.5,782.541,225.266,380.401,102.049,144.903,113.573,198.901,46455.608,0.704,8.053,35.834,0.604,0.777,0.641,0.655,22306.5,59149.117,0.674,0.704,2.852,0.019,0.592,0.351,38659.935,35.764,4.894,21.794,478.076,3396699,0.996,0.033,0.000368,223.78,0.965,0.325,0.879,254.83,15.963,3.724,0.421,0.649,9.074,0.427,0.654,9.199,85.226,0.279,6.131,254.512,10.518,254.879,2.639,Asteraceae
40610,13603,0,85,246,0,1007.81,372.839,152.54,2.444,45.898,53760.5,857.045,227.39,320.796,76.27,186.42,119.149,1415.512,44667.927,0.409,3.167,25.011,0.372,0.61,0.755,0.85,13150.5,56872.971,0.714,0.409,1.99,0.096,0.709,0.502,39602.19,53.62,9.974,13.236,173.733,3482373,0.989,0.077,0.002,223.922,0.965,0.344,0.878,254.919,15.966,1.358,1.244,1.115,16.49,1.093,1.045,14.488,85.752,0.139,2.199,253.837,15.433,254.919,1.355,Asteraceae
40779,13571,0,85,227,0,1491.883,352.755,247.877,1.423,51.013,56533.5,922.67,227.863,474.881,123.938,176.377,121.185,766.101,68674.948,0.703,4.378,54.58,0.417,0.646,0.721,0.618,15754.5,87439.659,0.466,0.703,4.343,0.084,0.48,0.23,39287.117,53.494,4.934,25.182,640.49,3474311,0.997,0.026,0.000374,41.891,0.937,0.861,0.975,254.927,15.966,2.29,0.344,0.586,8.494,0.325,0.57,8.024,85.199,0.132,3.949,254.648,8.699,254.948,1.609,Asteraceae
44471,14791,0,85,240,0,1239.675,358.66,186.214,1.926,49.275,55521,916.47,237.954,394.601,93.107,179.33,126.379,1584.967,52454.665,0.519,3.174,34.557,0.44,0.663,0.801,0.739,11050,66787.354,0.666,0.519,2.75,0.009,0.603,0.364,43231.325,115.104,4.146,28.618,833.093,3786587,0.997,0.02,0.000264,118.332,0.978,0.447,0.938,254.923,15.966,2.245,0.261,0.511,7.306,0.258,0.508,7.23,85.147,0.129,3.936,254.692,8.605,254.936,1.856,Asteraceae
44616,15039,0,85,247,0,2156.515,376.524,243.9,1.544,57.125,67572.5,966.292,238.342,686.44,121.95,188.262,127.134,892.024,72126.278,0.648,4.257,104.235,0.401,0.633,0.66,0.448,22956.5,91834.03,0.486,0.648,8.295,0.059,0.347,0.121,42459.485,47.286,12.855,9.939,97.95,3850161,0.98,0.14,0.003,116.484,0.978,0.454,0.939,254.7,15.959,3.76,2.176,1.475,21.517,2.011,1.418,19.868,86.296,0.423,6.314,252.731,22.474,254.714,3.545,Asteraceae
45959,15278,0,85,240,0,1042.899,304.322,242.72,1.254,58.635,56058.5,835.612,241.902,331.965,121.36,152.161,122.541,180.343,58013.541,0.798,9.125,23.665,0.632,0.795,0.82,0.801,10099.5,73865.134,0.622,0.798,1.883,0.929,0.729,0.531,44916.101,24.861,3.7,36.091,1309.879,3911258,0.998,0.013,0.00021,77.889,0.977,0.645,0.966,254.983,15.968,0.823,0.171,0.413,6.109,0.156,0.395,5.589,85.103,0.024,1.132,254.83,6.1,254.984,0.744,Asteraceae
