 ,Area,Mean,Mode,Min,Max,Median,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
39,29706,9893,0,85,229,0,Asteraceae,944.354,280.713,167.955,1.671,45.254,39908.500,697.933,194.481,300.597,83.977,140.357,100.510,314.998,37029.246,0.598,5.663,30.021,0.480,0.693,0.744,0.739,10202.500,47147.100,0.630,0.598,2.389,0.127,0.647,0.419,28761.646,32.501,5.672,21.997,484.413,2532694,0.996,0.032,4.944E-4,228.269,0.964,0.319,0.877,254.928,15.966,1.726,0.436,0.660,9.543,0.412,0.642,9.012,85.259,0.072,2.581,254.525,10.419,254.930,1.658
40,27875,9531,0,85,245,0,Asteraceae,975.685,293.002,160.931,1.821,39.010,35908.000,700.722,188.392,310.570,80.466,146.501,102.302,505.082,37033.993,0.549,4.552,34.151,0.413,0.643,0.776,0.718,8033.000,47153.144,0.591,0.549,2.718,0.270,0.607,0.368,26899.315,28.697,18.378,7.144,49.281,2440045,0.963,0.231,0.005,231.206,0.964,0.316,0.882,254.798,15.962,2.224,4.122,2.030,29.844,3.686,1.920,26.684,87.536,0.394,3.114,251.141,27.939,254.800,2.166
42,58172,19361,0,85,231,0,Asteraceae,1310.504,430.308,179.083,2.403,71.193,96242.500,1010.377,272.152,417.146,89.542,215.154,142.154,1760.621,60523.506,0.416,3.388,29.523,0.400,0.632,0.604,0.771,38070.500,77060.921,0.755,0.416,2.349,0.034,0.652,0.426,56861.496,32.533,5.115,25.012,626.765,4956559,0.997,0.025,4.022E-4,180.658,0.959,0.604,0.926,254.954,15.967,1.304,0.344,0.587,8.560,0.317,0.563,7.898,85.205,0.058,2.388,254.641,8.943,254.955,1.287
43,57899,19261,0,85,229,0,Asteraceae,1489.156,409.939,195.515,2.097,71.550,92146.500,1002.110,271.513,474.013,97.758,204.970,137.369,1598.723,62949.146,0.477,3.436,38.301,0.439,0.662,0.628,0.673,34247.500,80149.342,0.722,0.477,3.048,0.227,0.573,0.328,56409.844,95.595,4.258,26.319,696.027,4930837,0.997,0.023,2.788E-4,185.495,0.957,0.611,0.922,254.913,15.966,2.351,0.289,0.538,7.556,0.287,0.535,7.480,85.163,0.144,4.492,254.647,9.208,254.922,2.084
44,58510,19456,0,85,234,0,Asteraceae,1389.256,398.468,199.599,1.996,77.721,97293.000,996.850,272.942,442.214,99.800,199.234,134.539,1188.677,62465.906,0.501,3.902,32.986,0.469,0.685,0.601,0.718,38783.000,79534.062,0.736,0.501,2.625,0.022,0.617,0.381,57120.744,70.179,3.757,29.873,898.307,4980762,0.998,0.018,2.170E-4,181.784,0.959,0.607,0.928,254.930,15.967,2.131,0.226,0.475,6.672,0.224,0.474,6.631,85.127,0.124,4.277,254.726,8.087,254.939,1.840
45,39048,13011,0,85,237,0,Asteraceae,1134.479,287.717,199.666,1.441,60.453,54643.000,775.958,222.974,361.116,99.833,143.858,114.957,198.845,45118.958,0.694,8.152,32.961,0.601,0.775,0.715,0.684,15595.000,57447.242,0.680,0.694,2.623,0.043,0.617,0.381,37913.521,17.914,6.021,19.864,396.419,3330998,0.995,0.039,5.573E-4,185.404,0.958,0.609,0.927,254.879,15.965,2.530,0.525,0.725,10.335,0.512,0.715,10.064,85.305,0.167,4.761,254.385,12.084,254.886,2.361
46,37829,12608,0,85,236,0,Asteraceae,1119.207,327.794,176.070,1.862,54.073,55684.500,783.112,219.466,356.255,88.035,163.897,111.394,535.238,45328.925,0.537,4.815,33.113,0.448,0.670,0.679,0.700,17855.500,57714.580,0.655,0.537,2.635,0.386,0.616,0.380,36709.793,14.598,6.185,19.166,368.994,3227754,0.994,0.042,5.880E-4,191.223,0.956,0.612,0.928,254.863,15.964,2.821,0.566,0.753,10.751,0.545,0.738,10.337,85.325,0.197,4.967,254.349,12.358,254.878,2.469
47,30656,10257,0,85,251,0,Asteraceae,1274.545,306.537,165.399,1.853,52.476,50535.000,736.045,197.566,405.700,82.700,153.269,101.467,427.953,39820.500,0.540,4.905,52.990,0.415,0.645,0.607,0.577,19879.000,50701.035,0.605,0.540,4.217,3.563,0.487,0.237,29381.455,6.485,8.983,13.698,188.231,2626018,0.989,0.078,0.001,189.302,0.956,0.615,0.928,254.780,15.962,3.344,1.135,1.065,15.365,1.068,1.033,14.452,85.661,0.243,4.501,253.747,16.958,254.794,3.091
48,27952,9323,0,85,235,0,Asteraceae,1142.965,262.017,181.001,1.448,43.297,35640.000,684.459,188.652,363.817,90.501,131.009,96.366,217.447,37247.881,0.691,6.535,46.736,0.518,0.720,0.784,0.599,7688.000,47425.474,0.589,0.691,3.719,6.569,0.519,0.269,26809.035,17.928,6.800,17.586,310.230,2386793,0.993,0.049,7.106E-4,174.535,0.960,0.616,0.932,254.842,15.964,2.890,0.675,0.821,11.760,0.650,0.806,11.325,85.389,0.194,4.502,254.216,13.657,254.852,2.676
49,30499,10227,0,85,216,0,Asteraceae,1238.739,279.217,186.943,1.494,106.276,93223.500,719.147,197.060,394.303,93.472,139.608,100.345,297.534,40996.017,0.670,5.817,50.312,0.498,0.706,0.327,0.581,62724.500,52197.750,0.584,0.670,4.004,0.224,0.500,0.250,29260.261,16.743,9.590,11.296,126.599,2618306,0.984,0.106,0.001,200.924,0.953,0.618,0.922,254.404,15.950,6.816,1.563,1.250,17.608,1.579,1.257,17.795,85.849,1.006,11.532,253.235,19.905,254.591,4.688
50,22441,7460,0,85,244,0,Asteraceae,758.105,275.545,106.888,2.578,72.418,62689.000,635.434,169.035,241.312,53.444,137.772,88.909,828.681,23131.833,0.388,3.089,25.610,0.376,0.613,0.358,0.838,40248.000,29452.364,0.762,0.388,2.038,0.161,0.700,0.491,21682.895,14.924,3.738,35.243,1262.878,1909906,0.998,0.013,2.148E-4,210.390,0.952,0.611,0.922,254.968,15.968,1.227,0.181,0.425,6.228,0.175,0.419,6.048,85.108,0.039,1.920,254.797,6.985,254.970,1.154
