@relation FeaturesBW

@attribute Area numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}
@attribute Perimeter numeric
@attribute *Feret numeric
@attribute *Breadth numeric
@attribute *AspRatio numeric
@attribute *RFactor numeric
@attribute *ConvexArea numeric
@attribute *ConvexPerimeter numeric
@attribute *ArEquivD numeric
@attribute *PerEquivD numeric
@attribute *MinR numeric
@attribute *MaxR numeric
@attribute *avgR numeric
@attribute *VarianceR numeric
@attribute *EquivEllAr numeric
@attribute *ModRatio numeric
@attribute *HaralickRatio numeric
@attribute *ThinnessR numeric
@attribute *Roundness numeric
@attribute *Compactness numeric
@attribute *Solidity numeric
@attribute *Convexity numeric
@attribute *Concavity numeric
@attribute *ArBBox numeric
@attribute *Rectang numeric
@attribute *Sphericity numeric
@attribute *Elongation numeric
@attribute '*Bending Energy' numeric
@attribute *Jaggedness numeric
@attribute *Circularity numeric
@attribute *Endocarp numeric
@attribute 'Distance CM-FB' numeric

@data
2904,'Amorpha fruticosa',301647,116499,40305,2.89,12.892,4718.5,259.826,60.807,96.017,20153,58.249,34365,154828,3687837,0.346,2762,31.333,272,522,615,861,1814.5,4695499,618,0.346,2.493,5343,633,401,2602353,39042
1764,'Amorpha fruticosa',270534,112161,31.312,3582,8798,3100,239705,47.392,86.114,15.656,56.08,30.833,193205,2758285,0.279,2218,41.49,179,423,569,0.886,1336,3511958,502,0.279,3302,0.19,0.55,303,1493.466,10036
2573,'Amorpha fruticosa',290.333,118258,39409,3.001,9.18,3410.5,256878,57.237,92416,19705,59129,33875,170.897,3660308,0.333,2591,32.761,0.234,484,754,885,837.5,4660.449,552,0.333,2.607,9833,619,384,2282667,6856
2472,'Amorpha fruticosa',265848,111866,36765,3043,12775,4489.5,248234,56102,84.622,18383,55933,33496,165.598,3230176,0.329,2603,28.59,252,502,551,934,2017.5,4112787,601,0.329,2275,774,0.663,0.44,2206152,13481
2001,'Amorpha fruticosa',261948,103.856,34.307,3.027,14952,4878.5,228076,50475,83381,17153,51.928,30366,163313,2798.35,0.33,2376,34291,0.236,486,0.41,871,2877.5,3562.97,562,0.33,2.729,23.223,605,366,1739.052,10.889
1377,'Amorpha fruticosa',205238,86585,28,3092,24646,6704,189.79,41872,65329,14,43293,24.667,115.847,1904108,0.323,2292,30.59,0.234,484,205,925,5327,2424386,568,0.323,2434,12.654,0.641,0.411,1171762,6.27
1706,'Amorpha fruticosa',201.439,83726,30,2.791,16842,4430,190.557,46606,64.12,15,41863,29789,75836,1972741,358,3.421,23785,0.31,557,385,946,2724,2511772,679,358,1893,1965,727,528,1504.561,34596
2019,'Amorpha fruticosa',239.823,99639,33,3.019,9399,2942,221.03,50702,76.338,16.5,49.82,30638,103555,2582467,331,3011,28487,259,509,0.686,922,923,3288099,614,331,2267,205,664,441,1779.177,18186
1965,'Amorpha fruticosa',238894,97329,32467,2998,10725,3279.5,219423,50019,76042,16233,48665,30439,111398,2481842,0.334,2884,29044,264,514,599,0.918,1314.5,3159.979,622,0.334,2311,0.404,0.658,433,1726106,7.997
1546,'Amorpha fruticosa',205095,85726,29272,2929,9244,2489.5,194513,44367,65.284,14636,42863,29.598,70859,1970876,341,3516,27.208,268,518,621,948,943.5,2509397,616,341,2165,0.57,0.68,462,1340905,14838
15502,'Anagyris foetida',489931,170,114794,1.481,29934,15987,463661,140491,155.95,57397,85,72596,90162,15326965,675,7645,15.484,0.683,826,0.97,946,485,19514898,794,675,1232,0.018,0.901,812,15012069,8.966
15172,'Anagyris foetida',475931,169169,114852,1473,29.157,15495.5,455594,138988,151494,57426,84584,72176,63618,15259.76,679,9049,14929,675,0.822,0.979,0.957,323.5,19429.33,0.781,679,1188,4,917,0.842,14696069,12.266
8677,'Anagyris foetida',367505,134183,82287,1631,21.606,9108,351226,105109,116.98,41144,67.091,51518,84307,8672,613,5.611,15565,614,0.783,953,956,431,11041.533,0.786,613,1239,3,899,807,8309495,21639
8002,'Anagyris foetida',353647,133454,76717,1.74,20043,8403,339.71,100.938,112569,38.358,66727,49.55,106.653,8041.048,575,4798,15.629,0.572,0.756,0.952,961,401,10238.18,782,575,1244,17,897,804,7648353,1203
7974,'Anagyris foetida',369789,127945,79182,1.616,20621,8288.5,336916,100.761,117.707,39591,63973,49089,81785,7956831,619,5428,17149,0.62,0.788,0.962,0.911,314.5,10130952,787,619,1365,66,856,733,7604.211,4489
7925,'Anagyris foetida',343.22,118.95,83.9,1.418,22517,8414.5,328.771,100.451,109.25,41.95,59475,51.889,35342,7838174,705,8728,14864,713,0.844,0.942,958,489.5,9979873,794,705,1183,17,919,845,7581.78,6.378
7509,'Anagyris foetida',339907,118596,77.761,1525,21.931,8171,324612,97779,108196,38.88,59298,51441,44132,7243026,0.656,7.743,15386,0.68,0.824,919,955,662,9222107,0.814,0.656,1224,6,904,0.817,7169.093,4.8
11720,'Anagyris foetida',433.002,152611,96949,1574,26.452,12682,404347,122.157,137829,48475,76305,61137,104949,11620331,635,5968,15998,0.641,0.8,924,934,962,14795465,792,635,1273,15,0.886,0.786,11286998,10.469
9648,'Anagyris foetida',380.617,136033,89.332,1.523,26289,11235,366037,110834,121154,44.666,68017,54.384,84.83,9544269,657,5905,15015,664,815,0.859,0.962,1587,12152.141,794,657,1195,8,915,0.837,9267383,15542
9451,'Anagyris foetida',377.304,131655,90.893,1.448,27039,11183.5,360398,109697,120.099,45.447,65827,54.111,64425,9398484,0.69,6.742,15.063,0.694,833,845,955,1732.5,11966521,0.79,0.69,1199,31,0.913,0.834,9073696,5232
