@relation FeaturesColour

@attribute MeanIntensityR numeric
@attribute StdDevR numeric
@attribute MeanSqrtR numeric
@attribute MeanIntensityG numeric
@attribute StdDevG numeric
@attribute MeanSqrtG numeric
@attribute MeanIntensityB numeric
@attribute StdDevB numeric
@attribute MeanSqrtB numeric
@attribute MeanIntensityH numeric
@attribute StdDevH numeric
@attribute MeanSqrtH numeric
@attribute MeanIntensityS numeric
@attribute StdDevS numeric
@attribute MeanSqrtS numeric
@attribute MeanIntensityV numeric
@attribute StdDevV numeric
@attribute MeanSqrtV numeric
@attribute label {'Amorpha fruticosa_All.jpg','Anagyris foetida_All.jpg','Anthyllis barba-jovis_All.jpg','Anthyllis cytisoides_All.jpg','Astragalus glycyphyllos_All.jpg','Calicotome villosa_All.jpg','Caragana arborescens_All.jpg','Ceratonia siliqua_All.jpg','Colutea arborescens_All.jpg','Cytisus purgans_All.jpg','Cytisus scoparius_All.jpg','Dorycnium pentaphyllum_All.jpg','Dorycnium rectum_All.jpg','Hedysarum coronarium_All.jpg','Lathyrus aphaca_All.jpg','Lathyrus ochrus_All.jpg','Medicago sativa_All.jpg','Melilotus officinalis_All.jpg','Pisum sativum subsp. elatius_All.jpg','Senna alexandrina_All.jpg','Spartium junceum_All.jpg','Trifolium angustifolium_All.jpg','Vicia faba_All.jpg'}

@data
102.770211,43.673417,10.137564,76.46529,39.086999,8.744443,49.495167,33.37758,7.03528,0.142567,0.178512,0.37758,0.589793,0.236856,0.76798,0.412225,0.163397,0.642047,'Amorpha fruticosa_All.jpg'
102.414871,42.634651,10.120023,78.949892,40.004679,8.885375,52.856681,36.137577,7.27026,0.13422,0.145837,0.366361,0.562881,0.243699,0.750254,0.411621,0.161663,0.641577,'Amorpha fruticosa_All.jpg'
99.995734,58.680662,9.999787,80.833638,54.395366,8.990753,57.318708,47.660565,7.570912,0.158902,0.185366,0.398625,0.564194,0.269877,0.751129,0.404638,0.221732,0.636112,'Amorpha fruticosa_All.jpg'
89.25147,44.622946,9.4473,63.790592,40.170407,7.986901,44.541836,35.955383,6.673967,0.151256,0.208859,0.388917,0.606651,0.26286,0.778878,0.361057,0.168176,0.600881,'Amorpha fruticosa_All.jpg'
117.950507,54.020685,10.860502,91.571258,46.841636,9.569287,60.97734,39.502644,7.808799,0.136581,0.14566,0.369569,0.555388,0.240217,0.745244,0.471734,0.203126,0.686829,'Amorpha fruticosa_All.jpg'
108.995135,51.482705,10.440074,88.905405,46.348332,9.428966,58.142703,40.492655,7.625136,0.141033,0.120974,0.375544,0.555733,0.24512,0.745475,0.439089,0.191951,0.662638,'Amorpha fruticosa_All.jpg'
104.856461,54.960671,10.239944,71.917034,48.987056,8.480391,47.39207,37.062013,6.88419,0.146093,0.215635,0.382221,0.633855,0.242188,0.79615,0.419773,0.209002,0.647899,'Amorpha fruticosa_All.jpg'
113.563596,45.501235,10.656622,89.990132,41.162401,9.486313,60.315241,37.10086,7.766289,0.136904,0.13377,0.370005,0.540942,0.241268,0.735488,0.456179,0.169873,0.67541,'Amorpha fruticosa_All.jpg'
195.333932,47.164984,13.976192,132.877786,40.196327,11.527263,79.846154,26.80852,8.935668,0.092385,0.115016,0.303949,0.591027,0.144852,0.768783,0.766988,0.183076,0.875778,'Anagyris foetida_All.jpg'
170.621772,44.739421,13.062227,93.066471,43.5416,9.647096,80.125858,40.136045,8.951305,0.237196,0.386754,0.487028,0.56814,0.196504,0.75375,0.670389,0.173149,0.818773,'Anagyris foetida_All.jpg'
141.045767,40.118471,11.876269,56.79371,32.621436,7.53616,67.451809,36.854094,8.212905,0.841218,0.323511,0.917179,0.62879,0.195978,0.792963,0.555324,0.153618,0.745201,'Anagyris foetida_All.jpg'
147.8957,28.556501,12.161238,58.223806,26.58325,7.630453,78.352934,27.495412,8.851719,0.921416,0.174856,0.959904,0.616329,0.169507,0.785066,0.58207,0.107658,0.762935,'Anagyris foetida_All.jpg'
143.865266,36.352976,11.994385,54.911885,31.239904,7.410255,64.12812,31.125389,8.008004,0.756896,0.394395,0.869998,0.65558,0.183883,0.809679,0.566116,0.138342,0.752407,'Anagyris foetida_All.jpg'
167.827689,55.367118,12.954833,95.721628,51.699609,9.783743,71.353238,45.740797,8.447085,0.075384,0.162853,0.274562,0.623408,0.212092,0.789562,0.659022,0.21584,0.811801,'Anagyris foetida_All.jpg'
180.251713,43.32044,13.425785,106.983131,38.111883,10.343265,81.910648,40.486483,9.05045,0.06345,0.128253,0.251894,0.573408,0.182485,0.757237,0.707632,0.168509,0.841209,'Anagyris foetida_All.jpg'
189.34011,56.52875,13.760091,126.790383,42.322957,11.260124,65.192088,29.162932,8.074162,0.092576,0.085427,0.304263,0.660765,0.156744,0.812875,0.743518,0.220073,0.862275,'Anagyris foetida_All.jpg'
192.887852,32.556858,13.888407,127.914361,25.35374,11.309923,103.358575,26.849019,10.166542,0.058028,0.094331,0.24089,0.468929,0.110488,0.684784,0.757036,0.125913,0.870078,'Anagyris foetida_All.jpg'
164.428806,59.894398,12.82298,90.022382,58.649722,9.488013,64.090162,45.297676,8.005633,0.117234,0.24077,0.342395,0.661871,0.217166,0.813555,0.646534,0.232077,0.804073,'Anagyris foetida_All.jpg'
162.162749,34.985524,12.734314,85.21051,26.147313,9.230954,64.147537,30.341819,8.009216,0.127641,0.270773,0.357269,0.621699,0.176208,0.788479,0.637167,0.134473,0.798227,'Anagyris foetida_All.jpg'
165.981075,39.158736,12.883364,83.595689,37.744138,9.143068,75.189497,35.440563,8.671188,0.248329,0.401464,0.498327,0.579177,0.17791,0.761037,0.651994,0.151113,0.807462,'Anagyris foetida_All.jpg'
211.568473,42.364407,14.545394,144.465262,38.454803,12.01937,80.549411,36.605349,8.974932,0.085638,0.044599,0.29264,0.632594,0.156548,0.795358,0.830208,0.164866,0.911158,'Anagyris foetida_All.jpg'
168.183147,36.458071,12.968545,79.338784,37.101876,8.907232,75.825936,27.944414,8.707809,0.546709,0.47175,0.739398,0.588674,0.13871,0.767251,0.660651,0.14047,0.812804,'Anagyris foetida_All.jpg'
171.657805,43.353079,13.101824,90.919268,45.995952,9.53516,76.172805,41.489057,8.727703,0.089193,0.228798,0.298652,0.58607,0.189703,0.765552,0.673848,0.16868,0.820883,'Anagyris foetida_All.jpg'
181.364066,35.705015,13.467148,105.531342,29.68175,10.272845,73.902727,30.363656,8.59667,0.130949,0.256408,0.361869,0.602332,0.161272,0.7761,0.71179,0.138951,0.843677,'Anagyris foetida_All.jpg'
139.168955,54.634182,11.796989,61.116451,38.58522,7.817701,72.211228,43.856477,8.497719,0.750387,0.387125,0.866249,0.631441,0.210898,0.794632,0.549396,0.208071,0.741212,'Anagyris foetida_All.jpg'
162.793347,31.633105,12.75905,78.621001,25.688698,8.866848,79.633287,24.967668,8.923748,0.561796,0.472999,0.74953,0.546799,0.140715,0.739459,0.640022,0.120716,0.800014,'Anagyris foetida_All.jpg'
142.191088,37.556393,11.92439,67.595357,28.126789,8.22164,68.733899,34.718866,8.290591,0.58118,0.462326,0.762352,0.591479,0.182968,0.769077,0.55889,0.145384,0.747589,'Anagyris foetida_All.jpg'
166.794304,31.235443,12.914887,78.268575,29.68421,8.846953,72.364612,26.129063,8.506739,0.315849,0.441561,0.562005,0.586373,0.150709,0.76575,0.654738,0.12114,0.809159,'Anagyris foetida_All.jpg'
182.836907,38.017635,13.52172,114.553924,28.35674,10.702987,94.105419,32.633021,9.700795,0.100953,0.222948,0.317731,0.496676,0.133158,0.704752,0.717839,0.147169,0.847254,'Anagyris foetida_All.jpg'
171.914894,39.805481,13.111632,98.341484,33.585602,9.916727,81.579549,36.299898,9.03214,0.099887,0.234796,0.316049,0.549297,0.173145,0.741146,0.675083,0.154159,0.821635,'Anagyris foetida_All.jpg'
140.759745,49.057456,11.864221,59.852391,38.548476,7.736433,65.570946,40.644191,8.097589,0.644888,0.449905,0.803049,0.62976,0.213286,0.793574,0.554778,0.187697,0.744834,'Anagyris foetida_All.jpg'
