@relation FeaturesGray_RGB

@attribute Mean numeric
@attribute Min numeric
@attribute Max numeric
@attribute Mode numeric
@attribute StD numeric
@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute IntensitySum numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute SmothnessR numeric
@attribute GLCM_Contrast numeric
@attribute GLCM_Correlation numeric
@attribute GLCM_Energy numeric
@attribute GLCM_Homogeneity numeric
@attribute MeanIntensityR numeric
@attribute StdDevR numeric
@attribute MeanSqrtR numeric
@attribute MeanIntensityG numeric
@attribute StdDevG numeric
@attribute MeanSqrtG numeric
@attribute MeanIntensityB numeric
@attribute StdDevB numeric
@attribute MeanSqrtB numeric
@attribute MeanIntensityH numeric
@attribute StdDevH numeric
@attribute MeanSqrtH numeric
@attribute MeanIntensityS numeric
@attribute StdDevS numeric
@attribute MeanSqrtS numeric
@attribute MeanIntensityV numeric
@attribute StdDevV numeric
@attribute MeanSqrtV numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
66.387097,0,199,34,0,22603,510284,193205,1,-0,0,415751,938,218,735,88.993467,45.478411,9.433635,60.172724,39.920509,7.757108,39.040016,34.382342,6.248201,0.148299,0.205672,0.385096,0.653084,0.255687,0.808136,0.359322,0.171268,0.599435,'Amorpha fruticosa'
96.026056,3,217,128,5972,22603,510284,173854,996,24,0.000548,406414,0.939,207,745,119.187781,44.582294,10.917316,91.663971,41.95015,9.57413,57.650045,38.20002,7.592763,0.118857,0.091839,0.344757,0.573751,0.242257,0.757463,0.474869,0.169448,0.689108,'Amorpha fruticosa'
85.147766,1,202,105,3077,45464,2065,176090,0.999,6,0.000146,424.982,937,271,0.75,106.115693,45.100071,10.301247,80.336197,43.224487,8.963046,54.908362,38.043086,7.410018,0.128377,0.138527,0.358297,0.559875,0.256393,0.748248,0.426151,0.170836,0.652802,'Amorpha fruticosa'
77.621212,0,219,126,6959,19824,397224,128546,995,32,0.000744,366.56,945,228,755,98.814888,47.658869,9.940568,72.438076,43.781094,8.511056,48.72332,38.559372,6.980209,0.131728,0.152368,0.362943,0.599127,0.265678,0.774033,0.398243,0.180229,0.631065,'Amorpha fruticosa'
84.62369,0,235,96,6601,20895,436786,184455,995,0.029,0.00067,378301,0.942,177,732,103.41139,48.511638,10.169139,81.694305,43.605172,9.03849,50.440547,38.249761,7.102151,0.141426,0.135997,0.376066,0.602624,0.250251,0.776289,0.415683,0.18254,0.644735,'Amorpha fruticosa'
66.697674,0,214,56,2988,53.861,2899,247001,0.999,4,0.000137,351.257,945,183,721,88.262515,42.606302,9.394813,60.74458,37.871308,7.793881,40.813559,33.887309,6.388549,0.146591,0.199273,0.382872,0.638401,0.25184,0.799,0.358308,0.159604,0.598588,'Amorpha fruticosa'
96.221496,1,229,95,0,50695,2568,149940,1,-0,0,412575,938,0.22,738,113.782067,51.923484,10.666868,93.557601,43.819645,9.672518,63.881235,39.65045,7.992574,0.1572,0.135029,0.396484,0.522877,0.248331,0.723102,0.463234,0.18925,0.680613,'Amorpha fruticosa'
81.265817,0,201,93,2326,50695,2568,218823,0.999,5,0.000307,368.646,0.944,237,0.744,102.770211,43.673417,10.137564,76.46529,39.086999,8.744443,49.495167,33.37758,7.03528,0.142567,0.178512,0.37758,0.589793,0.236856,0.76798,0.412225,0.163397,0.642047,'Amorpha fruticosa'
83.005388,1,211,101,2253,49.689,2467,210232,0.999,5,0.000307,375413,941,192,737,102.414871,42.634651,10.120023,78.949892,40.004679,8.885375,52.856681,36.137577,7.27026,0.13422,0.145837,0.366361,0.562881,0.243699,0.750254,0.411621,0.161663,0.641577,'Amorpha fruticosa'
83.88117,0,253,8,4.469,25.863,668.516,170431,997,19,0.000307,341398,0.947,201,747,99.995734,58.680662,9.999787,80.833638,54.395366,8.990753,57.318708,47.660565,7.570912,0.158902,0.185366,0.398625,0.564194,0.269877,0.751129,0.404638,0.221732,0.636112,'Amorpha fruticosa'
69.222524,0,198,96,2614,37.068,1372001,117142,0.999,0.009,0.000105,319147,0.949,187,0.761,89.25147,44.622946,9.4473,63.790592,40.170407,7.986901,44.541836,35.955383,6.673967,0.151256,0.208859,0.388917,0.606651,0.26286,0.778878,0.361057,0.168176,0.600881,'Amorpha fruticosa'
95.982111,1,226,111,3.414,41.267,1701001,145151,0.999,0.007,0.000179,374365,0.94,183,0.756,117.950507,54.020685,10.860502,91.571258,46.841636,9.569287,60.97734,39.502644,7.808799,0.136581,0.14566,0.369569,0.555388,0.240217,0.745244,0.471734,0.203126,0.686829,'Amorpha fruticosa'
91.418919,1,213,108,0,44294,1960001,171615,1,-0,0,362.618,937,0.112,0.717,108.995135,51.482705,10.440074,88.905405,46.348332,9.428966,58.142703,40.492655,7.625136,0.141033,0.120974,0.375544,0.555733,0.24512,0.745475,0.439089,0.191951,0.662638,'Amorpha fruticosa'
78.973935,0,216,95,2842,44294,1960001,167151,0.999,6,0.000124,332719,0.944,125,0.71,104.856461,54.960671,10.239944,71.917034,48.987056,8.480391,47.39207,37.062013,6.88419,0.146093,0.215635,0.382221,0.633855,0.242188,0.79615,0.419773,0.209002,0.647899,'Amorpha fruticosa'
93.666118,1,218,106,0,89.437,7997,131410,1,-0,0,315478,935,161,764,113.563596,45.501235,10.656622,89.990132,41.162401,9.486313,60.315241,37.10086,7.766289,0.136904,0.13377,0.370005,0.540942,0.241268,0.735488,0.456179,0.169873,0.67541,'Amorpha fruticosa'
145.528157,3,212,195,0,89.437,7997,1317670,1,-0,0,35842,0.984,675,955,195.333932,47.164984,13.976192,132.877786,40.196327,11.527263,79.846154,26.80852,8.935668,0.092385,0.115016,0.303949,0.591027,0.144852,0.768783,0.766988,0.183076,0.875778,'Anagyris foetida'
114.789256,4,213,110,0,89.437,7997,1289620,1,-0,0,38046,0.984,672,956,170.621772,44.739421,13.062227,93.066471,43.5416,9.647096,80.125858,40.136045,8.951305,0.237196,0.386754,0.487028,0.56814,0.196504,0.75375,0.670389,0.173149,0.818773,'Anagyris foetida'
83.204261,1,180,84,0,89.437,7997,737545,1,-0,0,38856,0.984,685,0.96,141.045767,40.118471,11.876269,56.79371,32.621436,7.53616,67.451809,36.854094,8.212905,0.841218,0.323511,0.917179,0.62879,0.195978,0.792963,0.555324,0.153618,0.745201,'Anagyris foetida'
87.324899,2,159,90,1051,89.437,7997,680264,1,2,3,39635,983,0.69,961,147.8957,28.556501,12.161238,58.223806,26.58325,7.630453,78.352934,27.495412,8.851719,0.921416,0.174856,0.959904,0.616329,0.169507,0.785066,0.58207,0.107658,0.762935,'Anagyris foetida'
82.548661,1,156,111,13.916,8235,65.886,691085,972,157,3,41227,982,0.692,0.96,143.865266,36.352976,11.994385,54.911885,31.239904,7.410255,64.12812,31.125389,8.008004,0.756896,0.394395,0.869998,0.65558,0.183883,0.809679,0.566116,0.138342,0.752407,'Anagyris foetida'
114.532828,9,200,162,0,61254,3750215,673625,1,-0,0,44.13,982,684,0.959,167.827689,55.367118,12.954833,95.721628,51.699609,9.783743,71.353238,45.740797,8.447085,0.075384,0.162853,0.274562,0.623408,0.212092,0.789562,0.659022,0.21584,0.811801,'Anagyris foetida'
126.061149,14,199,151,1183,61254,3750215,638410,0.999,4,0,40817,983,695,0.962,180.251713,43.32044,13.425785,106.983131,38.111883,10.343265,81.910648,40.486483,9.05045,0.06345,0.128253,0.251894,0.573408,0.182485,0.757237,0.707632,0.168509,0.841209,'Anagyris foetida'
138.493853,0,200,166,2052,54.209,2940.481,996644,0.999,5,0,84764,982,259,0.869,189.34011,56.52875,13.760091,126.790383,42.322957,11.260124,65.192088,29.162932,8.074162,0.092576,0.085427,0.304263,0.660765,0.156744,0.812875,0.743518,0.220073,0.862275,'Anagyris foetida'
144.565237,15,202,129,1.981,50287,2565.58,820466,0.999,6,0,85566,983,235,0.86,192.887852,32.556858,13.888407,127.914361,25.35374,11.309923,103.358575,26.849019,10.166542,0.058028,0.094331,0.24089,0.468929,0.110488,0.684784,0.757036,0.125913,0.870078,'Anagyris foetida'
109.318791,0,205,181,0,13.653,184767,803335,1,-0,0,75954,0.984,249,868,164.428806,59.894398,12.82298,90.022382,58.649722,9.488013,64.090162,45.297676,8.005633,0.117234,0.24077,0.342395,0.661871,0.217166,0.813555,0.646534,0.232077,0.804073,'Anagyris foetida'
105.830444,2,168,118,0,13.653,184767,712980,1,-0,0,76542,0.984,237,0.864,162.162749,34.985524,12.734314,85.21051,26.147313,9.230954,64.147537,30.341819,8.009216,0.127641,0.270773,0.357269,0.621699,0.176208,0.788479,0.637167,0.134473,0.798227,'Anagyris foetida'
107.273468,2,190,122,8.447,13.653,184767,709504,0.989,68,1,90.94,981,0.22,853,165.981075,39.158736,12.883364,83.595689,37.744138,9.143068,75.189497,35.440563,8.671188,0.248329,0.401464,0.498327,0.579177,0.17791,0.761037,0.651994,0.151113,0.807462,'Anagyris foetida'
