Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean,Mode,Min,Max,Label
8709.0,74055.0,61109,975.0,136.0,4.0,868587.0,841.0,0.472,782.0,238.0,0,85,236,Anthyllis barba-jovis
,,54400,1.0,-0.0,0.0,711367.0,0.88,0.412,0.75,212.0,0,85,85,Anthyllis barba-jovis
,,49555,1.0,-0.0,0.0,984.083,828.0,0.4370000000000001,0.7609999999999999,193.0,0,85,85,Anthyllis barba-jovis
,,102170,1.0,-0.0,0.0,851291.0,0.86,413.0,745.0,399.0,0,85,85,Anthyllis barba-jovis
,,108290,1.0,-0.0,0.0,986672.0,0.8540000000000001,307.0,696.0,423.0,0,85,85,Anthyllis barba-jovis
,,83810,1.0,-0.0,0.0,692245.0,888.0,0.394,741.0,327.0,0,85,85,Anthyllis barba-jovis
19.9,394.021,68125,995.0,0.028,0.0008368000000000001,624797.0,899.0,384.0,741.0,266.0,0,85,233,Anthyllis barba-jovis
,,61795,1.0,-0.0,0.0,788.5260000000002,877.0,355.0,722.0,241.0,0,85,85,Anthyllis barba-jovis
12672.0,159793.0,54975,988.0,64.0,2.0,846.34,0.8690000000000001,361.0,0.7170000000000001,214.0,0,85,247,Anthyllis barba-jovis
36851.0,1356001.0,115822,0.999,0.009000000000000001,0.000212,111.453,741.0,0.463,904.0,452.0,0,85,222,Anthyllis cytisoides
,,70635,1.0,-0.0,0.0,158.71200000000005,732.0,473.0,0.9,275.0,0,85,85,Anthyllis cytisoides
,,45985,1.0,-0.0,0.0,240738.0,635.0,466.0,893.0,179.0,0,85,85,Anthyllis cytisoides
27695.0,765.0010000000002,65580,997.0,0.014,0.00033739999999999996,32926.0,0.8440000000000001,0.477,0.911,256.0,0,85,215,Anthyllis cytisoides
,,46410,1.0,-0.0,0.0,109.082,0.5720000000000001,413.0,0.9,181.0,0,85,85,Anthyllis cytisoides
17884.0,318425.0,54846,0.994,34.0,0.0009118,63.34,0.6679999999999999,426.0,0.908,214.0,0,85,229,Anthyllis cytisoides
,,47005,1.0,-0.0,0.0,133.83700000000002,0.7390000000000001,474.0,898.0,183.0,0,85,85,Anthyllis cytisoides
,,82705,1.0,-0.0,0.0,86.37899999999998,951.0,345.0,0.81,323.0,0,85,85,Anthyllis cytisoides
34971.0,1221001.0,104339,998.0,0.01,0.00020869999999999998,129672.0,917.0,0.333,0.77,407.0,0,85,214,Anthyllis cytisoides
22913.0,525336.0,88823,996.0,0.022,0.0004738,97005.0,0.947,0.334,0.79,346.0,0,85,220,Anthyllis cytisoides
27092.0,732.0010000000002,62786,997.0,15.0,0.00041470000000000005,116.857,946.0,349.0,0.7959999999999999,245.0,0,85,226,Anthyllis cytisoides
,,53890,1.0,-0.0,0.0,112206.0,0.939,331.0,787.0,210.0,0,85,85,Anthyllis cytisoides
,,48110,1.0,-0.0,0.0,122671.0,915.0,0.32299999999999995,763.0,187.0,0,85,85,Anthyllis cytisoides
16425.0,273365.0,43533,992.0,0.041,1.0,102.717,945.0,331.0,779.0,170.0,0,85,240,Anthyllis cytisoides
30.1,904.001,77397,998.0,12.0,0.0002947,533.3530000000002,885.0,0.056,499.0,302.0,0,85,217,Anthyllis cytisoides
,,70040,1.0,-0.0,0.0,704143.0,0.8740000000000001,0.08199999999999999,514.0,273.0,0,85,85,Anthyllis cytisoides
20986.0,443333.0,73014,995.0,0.026,0.0005856,808791.0,879.0,258.0,693.0,285.0,0,85,226,Anthyllis cytisoides
,,62475,1.0,-0.0,0.0,750337.0,0.8809999999999999,126.0,563.0,244.0,0,85,85,Anthyllis cytisoides
,,62305,1.0,-0.0,0.0,692.7330000000002,883.0,102.0,541.0,243.0,0,85,85,Anthyllis cytisoides
,,51425,1.0,-0.0,0.0,563254.0,902.0,0.093,537.0,200.0,0,85,85,Anthyllis cytisoides
,,51935,1.0,-0.0,0.0,770055.0,882.0,153.0,597.0,202.0,0,85,85,Anthyllis cytisoides
35327.0,1246001.0,106470,998.0,0.009000000000000001,0.00022400000000000002,831932.0,0.87,0.35,725.0,415.0,0,85,220,Anthyllis cytisoides
,,106250,1.0,-0.0,0.0,773.1080000000002,877.0,358.0,0.7240000000000001,415.0,0,85,85,Anthyllis cytisoides
,,92225,1.0,-0.0,0.0,836595.0,0.8740000000000001,273.0,677.0,360.0,0,85,85,Anthyllis cytisoides
32.388000000000005,1047001.0,89529,998.0,0.011,0.0001737,772686.0,0.8740000000000001,389.0,735.0,349.0,0,85,194,Anthyllis cytisoides
,,79730,1.0,-0.0,0.0,829404.0,0.8690000000000001,341.0,706.0,311.0,0,85,85,Anthyllis cytisoides
28513.0,811.0010000000002,69510,998.0,0.014,0.0004239,745238.0,878.0,0.403,0.7390000000000001,271.0,0,85,235,Anthyllis cytisoides
,,65110,1.0,-0.0,0.0,783.04,0.8690000000000001,0.412,742.0,254.0,0,85,85,Anthyllis cytisoides
,,109735,1.0,-0.0,0.0,871289.0,856.0,0.411,733.0,428.0,0,85,85,Anthyllis cytisoides
,,56015,1.0,-0.0,0.0,14.859000000000002,585.0,17.0,511.0,218.0,0,85,85,Astragalus glycyphyllos
21331.0,453024.0,78149,996.0,25.0,0.0006998999999999999,50593.0,0.911,0.018000000000000002,525.0,305.0,0,85,230,Astragalus glycyphyllos
,,59330,1.0,-0.0,0.0,12231.0,0.5479999999999999,0.018000000000000002,526.0,231.0,0,85,85,Astragalus glycyphyllos
,,56865,1.0,-0.0,0.0,12144.0,0.57,0.018000000000000002,525.0,222.0,0,85,85,Astragalus glycyphyllos
,,70210,1.0,-0.0,0.0,107103.0,872.0,17.0,524.0,274.0,0,85,85,Astragalus glycyphyllos
,,61200,1.0,-0.0,0.0,162743.0,893.0,19.0,0.5329999999999999,239.0,0,85,85,Astragalus glycyphyllos
10413.0,106973.0,56709,982.0,95.0,2.0,214732.0,907.0,24.0,551.0,221.0,0,85,226,Astragalus glycyphyllos
,,58225,1.0,-0.0,0.0,306061.0,932.0,0.058,0.61,227.0,0,85,85,Astragalus glycyphyllos
,,55760,1.0,-0.0,0.0,471.946,902.0,64.0,597.0,217.0,0,85,85,Astragalus glycyphyllos
,,68000,1.0,-0.0,0.0,459575.0,0.908,69.0,608.0,265.0,0,85,85,Astragalus glycyphyllos
,,71910,1.0,-0.0,0.0,472892.0,914.0,94.0,624.0,280.0,0,85,85,Astragalus glycyphyllos
,,70380,1.0,-0.0,0.0,837382.0,868.0,0.14300000000000002,628.0,274.0,0,85,85,Astragalus glycyphyllos
,,58650,1.0,-0.0,0.0,478985.0,907.0,77.0,609.0,229.0,0,85,85,Astragalus glycyphyllos
,,64855,1.0,-0.0,0.0,744617.0,0.8809999999999999,134.0,0.61,253.0,0,85,85,Astragalus glycyphyllos
,,59330,1.0,-0.0,0.0,999.733,848.0,0.16699999999999998,634.0,231.0,0,85,85,Astragalus glycyphyllos
,,57545,1.0,-0.0,0.0,961732.0,855.0,192.0,615.0,224.0,0,85,85,Astragalus glycyphyllos
