@relation FeaturesBW_RGB

@attribute Area numeric
@attribute Perimeter numeric
@attribute x_Feret numeric
@attribute x_Breadth numeric
@attribute x_AspRatio numeric
@attribute x_RFactor numeric
@attribute x_ConvexArea numeric
@attribute x_ConvexPerimeter numeric
@attribute x_ArEquivD numeric
@attribute x_PerEquivD numeric
@attribute x_MinR numeric
@attribute x_MaxR numeric
@attribute x_avgR numeric
@attribute x_VarianceR numeric
@attribute x_EquivEllAr numeric
@attribute x_ModRatio numeric
@attribute x_HaralickRatio numeric
@attribute x_ThinnessR numeric
@attribute x_Roundness numeric
@attribute x_Compactness numeric
@attribute x_Solidity numeric
@attribute x_Convexity numeric
@attribute x_Concavity numeric
@attribute x_ArBBox numeric
@attribute x_Rectang numeric
@attribute x_Sphericity numeric
@attribute x_Elongation numeric
@attribute x_BendingEnergy numeric
@attribute x_Jaggedness numeric
@attribute x_Circularity numeric
@attribute x_Endocarp numeric
@attribute DistanceCM_FB numeric
@attribute MeanIntensityR numeric
@attribute StdDevR numeric
@attribute MeanSqrtR numeric
@attribute MeanIntensityG numeric
@attribute StdDevG numeric
@attribute MeanSqrtG numeric
@attribute MeanIntensityB numeric
@attribute StdDevB numeric
@attribute MeanSqrtB numeric
@attribute MeanIntensityH numeric
@attribute StdDevH numeric
@attribute MeanSqrtH numeric
@attribute MeanIntensityS numeric
@attribute StdDevS numeric
@attribute MeanSqrtS numeric
@attribute MeanIntensityV numeric
@attribute StdDevV numeric
@attribute MeanSqrtV numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
2244,246.191,103.407,33853,3055,10.594,3441.5,230.319,53452,78365,16927,51703,30483,133694,2749433,327,2636,27.01,267,517,652,0.936,1197.5,3500687,0.641,327,2149,85,682,465,1997809,8416,113.86165,42.321067,10.670597,83.230583,38.651503,9.12308,53.545307,37.132993,7.317466,0.114128,0.109188,0.337829,0.588544,0.248477,0.767166,0.454862,0.159008,0.674435,'Amorpha fruticosa'
2273,248392,103005,35759,2.881,11037,3571.5,229.966,53797,79066,17.88,51.502,30.113,132907,2892913,0.347,2612,27.144,273,522,636,0.926,1298.5,3683.371,617,0.347,2.16,3033,0.68,0.463,2024608,3395,88.993467,45.478411,9.433635,60.172724,39.920509,7.757108,39.040016,34.382342,6.248201,0.148299,0.205672,0.385096,0.653084,0.255687,0.808136,0.359322,0.171268,0.599435,'Amorpha fruticosa'
2039,254877,105119,32404,3.244,10738,3546,230.009,50952,81.13,16202,52559,32059,128435,2675288,308,2.829,31.86,235,485,575,902,1507,3406283,599,308,2535,3082,628,0.394,1784.123,8.19,119.187781,44.582294,10.917316,91.663971,41.95015,9.57413,57.650045,38.20002,7.592763,0.118857,0.091839,0.344757,0.573751,0.242257,0.757463,0.474869,0.169448,0.689108,'Amorpha fruticosa'
2070,238593,99045,34435,2.876,9032,2810.5,218542,51338,75946,17218,49523,31064,117072,2678737,348,2.871,27.501,0.269,518,737,0.916,740.5,3410.674,607,348,2188,19,0.676,457,1831.407,5.967,106.115693,45.100071,10.301247,80.336197,43.224487,8.963046,54.908362,38.043086,7.410018,0.128377,0.138527,0.358297,0.559875,0.256393,0.748248,0.426151,0.170836,0.652802,'Amorpha fruticosa'
1506,215.823,85376,28.458,3,8523,2286,193097,43.789,68699,14.229,42688,26549,102943,1908223,0.333,2617,30.929,263,513,659,895,780,2429625,0.62,0.333,2461,514,637,406,1290177,9061,98.814888,47.658869,9.940568,72.438076,43.781094,8.511056,48.72332,38.559372,6.980209,0.131728,0.152368,0.362943,0.599127,0.265678,0.774033,0.398243,0.180229,0.631065,'Amorpha fruticosa'
2162,256149,103.73,34022,3049,9.608,3131,231.694,52467,81535,17011,51865,29029,130173,2771.731,0.328,2544,30.348,256,506,691,905,969,3529078,613,0.328,2415,2.04,643,414,1905851,5.201,103.41139,48.511638,10.169139,81.694305,43.605172,9.03849,50.440547,38.249761,7.102151,0.141426,0.135997,0.376066,0.602624,0.250251,0.776289,0.415683,0.18254,0.644735,'Amorpha fruticosa'
2904,301647,116499,40305,2.89,12.892,4718.5,259.826,60.807,96.017,20153,58.249,34365,154828,3687837,0.346,2762,31.333,272,522,615,861,1814.5,4695499,618,0.346,2.493,5343,633,401,2602353,39042,88.262515,42.606302,9.394813,60.74458,37.871308,7.793881,40.813559,33.887309,6.388549,0.146591,0.199273,0.382872,0.638401,0.25184,0.799,0.358308,0.159604,0.598588,'Amorpha fruticosa'
1764,270534,112161,31.312,3582,8798,3100,239705,47.392,86.114,15.656,56.08,30.833,193205,2758285,0.279,2218,41.49,179,423,569,0.886,1336,3511958,502,0.279,3302,0.19,0.55,303,1493.466,10036,113.782067,51.923484,10.666868,93.557601,43.819645,9.672518,63.881235,39.65045,7.992574,0.1572,0.135029,0.396484,0.522877,0.248331,0.723102,0.463234,0.18925,0.680613,'Amorpha fruticosa'
2573,290.333,118258,39409,3.001,9.18,3410.5,256878,57.237,92416,19705,59129,33875,170.897,3660308,0.333,2591,32.761,0.234,484,754,885,837.5,4660.449,552,0.333,2.607,9833,619,384,2282667,6856,102.770211,43.673417,10.137564,76.46529,39.086999,8.744443,49.495167,33.37758,7.03528,0.142567,0.178512,0.37758,0.589793,0.236856,0.76798,0.412225,0.163397,0.642047,'Amorpha fruticosa'
2472,265848,111866,36765,3043,12775,4489.5,248234,56102,84.622,18383,55933,33496,165.598,3230176,0.329,2603,28.59,252,502,551,934,2017.5,4112787,601,0.329,2275,774,0.663,0.44,2206152,13481,102.414871,42.634651,10.120023,78.949892,40.004679,8.885375,52.856681,36.137577,7.27026,0.13422,0.145837,0.366361,0.562881,0.243699,0.750254,0.411621,0.161663,0.641577,'Amorpha fruticosa'
2001,261948,103.856,34.307,3.027,14952,4878.5,228076,50475,83381,17153,51.928,30366,163313,2798.35,0.33,2376,34291,0.236,486,0.41,871,2877.5,3562.97,562,0.33,2.729,23.223,605,366,1739.052,10.889,99.995734,58.680662,9.999787,80.833638,54.395366,8.990753,57.318708,47.660565,7.570912,0.158902,0.185366,0.398625,0.564194,0.269877,0.751129,0.404638,0.221732,0.636112,'Amorpha fruticosa'
1377,205238,86585,28,3092,24646,6704,189.79,41872,65329,14,43293,24.667,115.847,1904108,0.323,2292,30.59,0.234,484,205,925,5327,2424386,568,0.323,2434,12.654,0.641,0.411,1171762,6.27,89.25147,44.622946,9.4473,63.790592,40.170407,7.986901,44.541836,35.955383,6.673967,0.151256,0.208859,0.388917,0.606651,0.26286,0.778878,0.361057,0.168176,0.600881,'Amorpha fruticosa'
1706,201.439,83726,30,2.791,16842,4430,190.557,46606,64.12,15,41863,29789,75836,1972741,358,3.421,23785,0.31,557,385,946,2724,2511772,679,358,1893,1965,727,528,1504.561,34596,117.950507,54.020685,10.860502,91.571258,46.841636,9.569287,60.97734,39.502644,7.808799,0.136581,0.14566,0.369569,0.555388,0.240217,0.745244,0.471734,0.203126,0.686829,'Amorpha fruticosa'
