Area,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB
2128,Senna alexandrina,206.936,62169.0,49.0,1.269,17552.0,3428.0,173918.0,52052.0,65.87,24.5,31085.0,26.508000000000006,8022.0,2392548.0,0.7879999999999999,9359.0,20123.0,701.0,0.8370000000000001,621.0,0.84,1300.0,3046.2870000000007,0.6990000000000001,0.7879999999999999,1601.0,24.0,0.79,624.0,1921.064,5129.0
1931,Senna alexandrina,183137.0,56.08,47942.0,1.17,12831.0,2260.5,163665.0,49585.0,58294.0,23971.0,28.04,24.777,3763.0,2111616.0,855.0,12773.0,17369.0,782.0,884.0,0.8540000000000001,894.0,329.5,2688593.0,718.0,855.0,1382.0,0.022,851.0,0.7240000000000001,1747.8629999999996,15796.0
1487,Senna alexandrina,180208.0,53852.0,39976.0,1347.0,12.191,2062.5,148489.0,43512.0,57.362,19988.0,26926.0,22.078000000000007,11088.0,1690793.0,742.0,6.63,21.839,653.0,0.8079999999999999,721.0,0.8240000000000001,575.5,2152785.0,691.0,742.0,1.7380000000000002,0.08800000000000001,759.0,575.0,1306792.0,6596.0
1317,Senna alexandrina,159095.0,51.624,35.36,1.46,12.178,1975.0,140376.0,40949.0,50.642,17.68,25.812,20.47,11464.0,1433662.0,685.0,6046.0,19219.0,629.0,0.7929999999999999,667.0,882.0,658.0,1825395.0,721.0,685.0,1.529,0.059,809.0,654.0,1157905.0,7341.0
2074,Senna alexandrina,219.664,62968.0,45668.0,1379.0,15.005999999999998,2968.5,175702.0,51.38800000000001,69921.0,22834.0,31484.0,26.192,11.358,2258531.0,725.0,7772.0,23265.0,0.6659999999999999,816.0,0.6990000000000001,0.8,894.5,2875.65,721.0,725.0,1851.0,263.0,735.0,0.54,1854336.0,6019.0
1941,Senna alexandrina,195.823,61.221,46.962,1304.0,12543.0,2412.5,169.37,49713.0,62333.0,23.481,30.61,25857.0,10963.0,2258084.0,767.0,7809.0,19756.0,659.0,812.0,805.0,865.0,471.5,2875.082000000001,675.0,767.0,1.5719999999999998,0.6779999999999999,0.7979999999999999,636.0,1745.177,16213.0
1915,Senna alexandrina,194894.0,65734.0,43.38,1515.0,11.607,2397.0,169.32299999999995,49379.0,62037.0,21.69,32867.0,24209.0,16.76,2239591.0,0.66,5914.0,19835.0,564.0,0.7509999999999999,799.0,0.8690000000000001,482.0,2851.536,672.0,0.66,1578.0,39.0,0.7959999999999999,634.0,1720106.0,4836.0
2117,Senna alexandrina,198894.0,61465.0,45043.0,1365.0,12.68,2448.5,175959.0,51918.0,63.31,22521.0,30733.0,26.7,8755.0,2174.44,733.0,9024.0,18686.0,713.0,845.0,865.0,885.0,331.5,2768583.0,765.0,733.0,1.487,0.18,0.82,672.0,1918106.0,12298.0
2007,Senna alexandrina,189.723,60.166,45.0,1337.0,18.519,3500.5,168607.0,50551.0,60.39100000000001,22.5,30.083,25.784,6346.0,2126.457000000001,748.0,10236.0,17935.0,706.0,0.84,573.0,889.0,1493.5,2707.49,741.0,748.0,1.4269999999999998,0.059,0.8370000000000001,701.0,1817277.0,12752.0
1801,Senna alexandrina,199865.0,62.26600000000001,43.337,1.4369999999999998,11042.0,2160.0,166.88,47886.0,63619.0,21669.0,31.133000000000006,24288.0,14513.0,2119.34,696.0,6376.0,22.18,591.0,769.0,0.8340000000000001,835.0,359.0,2698427.0,667.0,696.0,1765.0,146.0,753.0,0.5670000000000001,1601135.0,13205.0
1262,Senna alexandrina,157338.0,51923.0,34.0,1527.0,9849.0,1606.5,137.69299999999998,40085.0,50082.0,17.0,25962.0,20835.0,11342.0,1386.5279999999998,655.0,6187.0,19616.0,596.0,772.0,0.7859999999999999,875.0,344.5,1765.3829999999996,715.0,655.0,1561.0,39.0,0.8,0.6409999999999999,1104662.0,7.174
1679,Senna alexandrina,176551.0,55.57,42.0,1.3230000000000002,10.845999999999998,1893.5,155181.0,46.236,56198.0,21.0,27785.0,23323.0,4935.0,1833065.0,0.7559999999999999,10499.0,18565.0,0.6920000000000001,0.8320000000000001,887.0,879.0,214.5,2333931.0,0.7190000000000001,0.7559999999999999,1.477,821.0,823.0,677.0,1502.4489999999996,8525.0
1420,Senna alexandrina,170995.0,52355.0,38397.0,1364.0,13783.0,2267.0,144575.0,42521.0,54.429,19198.0,26177.0,21635.0,8601.0,1578.84,733.0,7.377000000000002,20.591,0.66,812.0,626.0,845.0,847.0,2010.242,706.0,733.0,1639.0,0.5589999999999999,0.7809999999999999,0.61,1249005.0,6.82
1723,Senna alexandrina,198593.0,58.13800000000001,44308.0,1.3119999999999998,22065.0,4030.0,163.75,46838.0,63214.0,22154.0,29.069000000000006,23.964,13917.0,2023.157,762.0,6.424,22.89,649.0,0.8059999999999999,428.0,825.0,2307.0,2575.963,669.0,762.0,1.822,1.362,741.0,0.5489999999999999,1524.4070000000004,4713.0
1876,Senna alexandrina,177924.0,61.4,45598.0,1347.0,17051.0,3289.0,163942.0,48.87300000000001,56635.0,22799.0,30.7,25039.0,8.54,2198.91,743.0,8568.0,16875.0,634.0,0.7959999999999999,0.57,0.921,1413.0,2799739.0,0.67,743.0,1.3430000000000002,63.0,863.0,745.0,1698076.0,6.533
2123,Senna alexandrina,206894.0,64203.0,45695.0,1405.0,11.595999999999998,2339.0,176375.0,51.99100000000001,65857.0,22.848000000000006,32101.0,26879.0,12758.0,2304163.0,0.7120000000000001,7525.0,20163.0,0.6559999999999999,0.81,0.908,852.0,216.0,2933.751,0.7240000000000001,0.7120000000000001,1604.0,0.33,789.0,623.0,1916106.0,4475.0
