@relation FeaturesGray

@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute 'Intensity sum' numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute 'Smothness R' numeric
@attribute GLCM-Contrast numeric
@attribute GLCM-Correlation numeric
@attribute GLCM-Energy numeric
@attribute GLCM-Homogeneity numeric
@attribute Mean numeric
@attribute Mode numeric
@attribute Min numeric
@attribute Max numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
12672,159793,54975,988,64,2,846.34,0.869,361,0.717,214,0,85,247,'Anthyllis barba-jovis'
36851,1356001,115822,0.999,0.009,0.000212,111.453,741,0.463,904,452,0,85,222,'Anthyllis cytisoides'
?,?,70635,1,-0,0,158.712,732,473,0.9,275,0,85,85,'Anthyllis cytisoides'
?,?,45985,1,-0,0,240738,635,466,893,179,0,85,85,'Anthyllis cytisoides'
27695,765.001,65580,997,0.014,0.000337,32926,0.844,0.477,0.911,256,0,85,215,'Anthyllis cytisoides'
?,?,46410,1,-0,0,109.082,0.572,413,0.9,181,0,85,85,'Anthyllis cytisoides'
17884,318425,54846,0.994,34,0.000912,63.34,0.668,426,0.908,214,0,85,229,'Anthyllis cytisoides'
?,?,47005,1,-0,0,133.837,0.739,474,898,183,0,85,85,'Anthyllis cytisoides'
?,?,82705,1,-0,0,86.379,951,345,0.81,323,0,85,85,'Anthyllis cytisoides'
34971,1221001,104339,998,0.01,0.000209,129672,917,0.333,0.77,407,0,85,214,'Anthyllis cytisoides'
22913,525336,88823,996,0.022,0.000474,97005,0.947,0.334,0.79,346,0,85,220,'Anthyllis cytisoides'
