 ,Area,Mean,Mode,Min,Max,Median,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
21,3840,108.927,120,1,236,110,311_011,309.948,128.316,47.262,2.715,10.797,4352.500,289.770,69.923,98.660,23.631,64.158,37.438,197.665,4763.058,0.368,2.663,25.018,0.297,0.545,0.882,0.935,512.500,6064.514,0.633,0.368,1.991,3.787,0.709,0.502,3530.052,9.424,53.620,0.021,-0.779,418281,0.005,7.660,0.042,563.466,0.903,0.019,0.440,221.607,14.886,60.400,31.237,5.589,59.007,20.809,4.562,44.421,91.217,11.623,33.878,224.674,57.513,222.784,59.440
22,3627,89.141,100,0,244,85,31_011,319.546,127.350,46.040,2.766,10.532,4213.500,284.291,67.956,101.715,23.020,63.675,38.880,194.499,4604.950,0.362,2.788,28.153,0.285,0.534,0.861,0.890,586.500,5863.205,0.619,0.362,2.240,0.158,0.668,0.446,3307.454,12.654,54.705,0.733,0.053,323315,0.006,7.568,0.044,824.678,0.898,0.019,0.413,211.414,14.540,71.291,23.920,4.891,47.329,16.457,4.057,38.774,83.930,9.878,28.726,225.811,57.116,212.667,70.647
23,3375,90.197,89,1,242,86,321_011,297.664,120.208,43.264,2.778,10.103,3815.500,273.202,65.553,94.749,21.632,60.104,39.946,141.181,4084.589,0.360,3.362,26.253,0.297,0.545,0.885,0.918,440.500,5200.661,0.649,0.360,2.089,1.042,0.692,0.479,3077.336,14.151,51.914,0.668,0.176,304415,0.007,7.487,0.040,686.809,0.908,0.010,0.382,206.816,14.381,73.771,26.607,5.158,47.284,17.052,4.129,35.520,83.492,11.152,30.511,222.092,58.248,207.595,73.426
24,3718,89.193,14,0,237,84,331_011,311.262,125.936,45.915,2.743,10.751,4253.500,283.263,68.803,99.078,22.958,62.968,38.830,167.941,4541.475,0.365,2.996,26.058,0.298,0.546,0.874,0.910,535.500,5782.386,0.643,0.365,2.074,0.263,0.694,0.482,3406.738,7.436,57.026,0.470,-0.605,331620,0.006,7.629,0.048,544.110,0.924,0.025,0.438,198.786,14.099,80.122,29.775,5.457,53.283,19.568,4.424,38.991,82.710,15.959,45.050,220.995,56.447,199.759,79.660
25,2696,108.540,102,0,242,109,341_011,303.362,124.780,38.794,3.216,9.150,3587.000,275.960,58.589,96.563,19.397,62.390,40.152,242.735,3801.865,0.311,2.577,34.135,0.220,0.470,0.752,0.910,891.000,4840.685,0.557,0.311,2.716,0.052,0.607,0.368,2392.638,12.285,56.648,0.006,-0.904,292623,0.005,7.678,0.047,467.562,0.929,0.011,0.413,221.582,14.886,64.358,26.251,5.124,54.534,17.829,4.222,42.073,88.554,10.600,29.826,227.252,57.062,222.815,63.139
26,3085,107.888,122,1,241,107,351_011,276.777,112.801,41.144,2.742,9.796,3471.500,253.422,62.673,88.101,20.572,56.400,34.887,126.826,3645.059,0.365,3.098,24.832,0.309,0.556,0.889,0.916,386.500,4641.033,0.665,0.365,1.976,0.341,0.711,0.506,2808.223,13.607,53.516,0.172,-0.508,332833,0.006,7.633,0.042,640.351,0.907,0.013,0.394,228.983,15.132,53.647,25.730,5.072,54.443,17.510,4.185,41.935,90.741,7.435,19.628,228.566,56.192,230.020,52.760
27,3313,97.528,111,1,242,93,361_011,356.534,145.086,42.559,3.409,9.915,4519.500,318.989,64.948,113.488,21.279,72.543,42.422,388.264,4849.579,0.293,2.153,38.369,0.200,0.448,0.733,0.895,1206.500,6174.676,0.537,0.293,3.053,0.423,0.572,0.328,2956.466,8.810,52.694,0.651,-0.077,323110,0.006,7.521,0.041,605.186,0.897,0.021,0.483,213.576,14.614,66.526,27.051,5.201,48.520,17.940,4.236,37.200,86.189,8.437,20.103,222.291,58.839,214.500,65.943
28,3375,97.486,111,0,243,97,391_011,293.907,117.886,44.498,2.649,10.622,3934.000,270.852,65.553,93.553,22.249,58.943,35.911,157.361,4119.970,0.377,2.863,25.594,0.309,0.556,0.858,0.922,559.000,5245.708,0.643,0.377,2.037,0.462,0.701,0.491,3081.093,7.589,58.705,0.296,-0.772,329014,0.005,7.682,0.050,488.898,0.945,0.008,0.374,211.801,14.553,73.619,26.308,5.129,53.124,17.821,4.221,40.523,85.310,13.126,38.435,225.455,56.963,212.824,72.999
29,3078,101.677,111,1,235,101,401_011,299.421,122.147,40.159,3.042,9.467,3633.000,272.752,62.602,95.309,20.079,61.074,36.496,184.518,3852.590,0.329,2.687,29.127,0.263,0.513,0.847,0.911,555.000,4905.271,0.627,0.329,2.318,0.407,0.657,0.431,2778.579,8.005,53.922,0.268,-0.476,312961,0.006,7.605,0.043,499.992,0.934,0.015,0.374,217.673,14.754,64.093,29.774,5.457,56.027,20.213,4.496,44.050,89.220,10.174,24.132,222.760,60.596,219.271,63.007
30,3209,102.989,116,2,238,101,411_011,293.019,118.849,44.418,2.676,10.238,3822.500,272.194,63.920,93.271,22.209,59.424,35.054,189.189,4146.144,0.374,2.548,26.756,0.289,0.538,0.840,0.929,613.500,5279.035,0.608,0.374,2.129,4.727,0.685,0.470,2915.981,9.147,49.521,0.327,-0.419,330493,0.006,7.515,0.036,513.466,0.912,0.021,0.453,219.845,14.827,59.979,29.879,5.466,54.288,19.549,4.421,41.563,89.758,8.853,20.315,223.611,58.779,220.962,59.192
