Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      46 |        1100 |       00:16:38 |      100.00% |       96.46% |       0.0087 |       0.0724 |      1.0000e-04 |
|      47 |        1105 |       00:16:43 |      100.00% |       96.97% |       0.0029 |       0.0989 |      1.0000e-04 |
|      47 |        1110 |       00:16:47 |      100.00% |       96.46% |       0.0138 |       0.1008 |      1.0000e-04 |
|      47 |        1115 |       00:16:52 |      100.00% |       97.47% |       0.0054 |       0.0846 |      1.0000e-04 |
|      47 |        1120 |       00:16:56 |      100.00% |       98.48% |       0.0033 |       0.0929 |      1.0000e-04 |
|      47 |        1125 |       00:17:01 |      100.00% |       97.47% |       0.0063 |       0.0935 |      1.0000e-04 |
|      48 |        1130 |       00:17:05 |      100.00% |       97.98% |       0.0035 |       0.0745 |      1.0000e-04 |
|      48 |        1135 |       00:17:10 |      100.00% |       96.97% |       0.0041 |       0.0844 |      1.0000e-04 |
|      48 |        1140 |       00:17:14 |      100.00% |       95.96% |       0.0070 |       0.0959 |      1.0000e-04 |
|      48 |        1145 |       00:17:19 |      100.00% |       98.48% |       0.0043 |       0.0687 |      1.0000e-04 |
|      48 |        1150 |       00:17:23 |      100.00% |       98.48% |       0.0090 |       0.0535 |      1.0000e-04 |
|      49 |        1155 |       00:17:28 |      100.00% |       97.47% |       0.0088 |       0.0734 |      1.0000e-04 |
|      49 |        1160 |       00:17:32 |      100.00% |       97.98% |       0.0025 |       0.0441 |      1.0000e-04 |
|      49 |        1165 |       00:17:37 |      100.00% |       98.48% |       0.0058 |       0.0648 |      1.0000e-04 |
|      49 |        1170 |       00:17:41 |      100.00% |       97.98% |       0.0122 |       0.0675 |      1.0000e-04 |
|      49 |        1175 |       00:17:46 |      100.00% |       96.97% |       0.0050 |       0.0889 |      1.0000e-04 |
|      50 |        1180 |       00:17:50 |      100.00% |       97.47% |       0.0027 |       0.0762 |      1.0000e-04 |
|      50 |        1185 |       00:17:55 |      100.00% |       97.98% |       0.0032 |       0.0801 |      1.0000e-04 |
|      50 |        1190 |       00:17:59 |      100.00% |       96.97% |       0.0036 |       0.0835 |      1.0000e-04 |
|      50 |        1195 |       00:18:04 |      100.00% |       97.98% |       0.0114 |       0.0699 |      1.0000e-04 |
|      50 |        1200 |       00:18:09 |      100.00% |       97.47% |       0.0067 |       0.0808 |      1.0000e-04 |
|======================================================================================================================|
Predicting accuracy for Test Set 
The accuracy of the test set is 96.464646 
The specificity of the test set is 95.899427 
The sensitivity of the test set is 94.370485 
