Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      34 |         810 |       00:23:53 |      100.00% |       96.97% |       0.0147 |       0.1161 |      1.0000e-04 |
|      34 |         815 |       00:24:00 |      100.00% |       95.96% |       0.0049 |       0.1356 |      1.0000e-04 |
|      35 |         820 |       00:24:07 |      100.00% |       96.97% |       0.0016 |       0.1195 |      1.0000e-04 |
|      35 |         825 |       00:24:14 |      100.00% |       96.46% |       0.0035 |       0.1346 |      1.0000e-04 |
|      35 |         830 |       00:24:21 |      100.00% |       95.45% |       0.0019 |       0.1619 |      1.0000e-04 |
|      35 |         835 |       00:24:28 |      100.00% |       95.96% |       0.0095 |       0.1247 |      1.0000e-04 |
|      35 |         840 |       00:24:35 |      100.00% |       96.46% |       0.0031 |       0.1072 |      1.0000e-04 |
|      36 |         845 |       00:24:42 |      100.00% |       96.97% |       0.0048 |       0.1414 |      1.0000e-04 |
|      36 |         850 |       00:24:49 |      100.00% |       95.96% |       0.0031 |       0.1228 |      1.0000e-04 |
|      36 |         855 |       00:24:56 |      100.00% |       97.47% |       0.0106 |       0.1038 |      1.0000e-04 |
|      36 |         860 |       00:25:03 |      100.00% |       94.95% |       0.0027 |       0.1288 |      1.0000e-04 |
|      37 |         865 |       00:25:10 |      100.00% |       95.96% |       0.0110 |       0.1013 |      1.0000e-04 |
|      37 |         870 |       00:25:17 |      100.00% |       95.96% |       0.0159 |       0.1395 |      1.0000e-04 |
|      37 |         875 |       00:25:24 |      100.00% |       97.47% |       0.0039 |       0.1060 |      1.0000e-04 |
|      37 |         880 |       00:25:31 |      100.00% |       95.45% |       0.0140 |       0.1222 |      1.0000e-04 |
|      37 |         885 |       00:25:38 |      100.00% |       96.46% |       0.0069 |       0.1155 |      1.0000e-04 |
|      38 |         890 |       00:25:45 |      100.00% |       95.45% |       0.0028 |       0.1438 |      1.0000e-04 |
|      38 |         895 |       00:25:52 |      100.00% |       97.47% |       0.0053 |       0.1042 |      1.0000e-04 |
|      38 |         900 |       00:25:59 |      100.00% |       97.47% |       0.0034 |       0.0876 |      1.0000e-04 |
|      38 |         905 |       00:26:06 |      100.00% |       96.97% |       0.0022 |       0.1174 |      1.0000e-04 |
|      38 |         910 |       00:26:13 |      100.00% |       96.46% |       0.0052 |       0.1290 |      1.0000e-04 |
